,CountryID,TechID,Year,Description,TransTypeID,DemandShareP,AveCapacityP,AveLoadFactorP,AveCapacityF,AveLoadFactorF,CargoFactor,AveNumTrips,AveTripLength,ExpectLife,FailSteep
46,9,4010,2058,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
47,9,4010,2059,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
48,9,4010,2060,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
49,9,4010,2061,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
50,9,4010,2062,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
51,9,4010,2063,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
52,9,4010,2064,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
53,9,4010,2065,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
54,9,4010,2066,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
55,9,4010,2067,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
56,9,4010,2068,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
57,9,4010,2069,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
58,9,4010,2070,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
59,9,4010,2071,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
60,9,4010,2072,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
61,9,4010,2073,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
62,9,4010,2074,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
63,9,4010,2075,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
64,9,4010,2076,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
65,9,4010,2077,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
66,9,4010,2078,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
67,9,4010,2079,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
68,9,4010,2080,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
69,9,4010,2081,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
70,9,4010,2082,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
71,9,4010,2083,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
72,9,4010,2084,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
73,9,4010,2085,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
74,9,4010,2086,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
75,9,4010,2087,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
76,9,4010,2088,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
77,9,4010,2089,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
78,9,4010,2090,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
79,9,4010,2091,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
80,9,4010,2092,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
81,9,4010,2093,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
