,ScenarioID,CountryID,TechID,Year,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
131,1,9,70,2013,27,1,3,1,1,1,8.34785964798357e-08
132,1,9,70,2013,28,1,3,1,1,1,1.12411177588534e-10
133,1,9,70,2013,29,1,3,1,1,1,4.30896061832855e-14
134,1,9,70,2013,30,1,3,1,1,1,4.32251004587343e-18
135,1,9,70,2013,31,1,3,1,1,1,7.28284339417963e-23
136,1,9,70,2013,32,1,3,1,1,1,2.09145447494008e-28
137,1,9,70,2013,33,1,3,1,1,1,7.23237133845317e-35
138,1,9,80,2012,0,1,3,1,14,1,458329.96875
139,1,9,80,2012,1,1,3,1,14,1,438110.78125
140,1,9,80,2012,2,1,3,1,14,1,442616.59375
141,1,9,80,2012,3,1,3,1,14,1,466866.625
142,1,9,80,2013,1,1,3,1,14,1,458005.96875
143,1,9,80,2013,2,1,3,1,14,1,437457.9375
144,1,9,80,2013,3,1,3,1,14,1,441336.34375
145,1,9,80,2013,4,1,3,1,14,1,464413.875
146,1,9,90,2012,17,1,3,1,3,1,16635.119140625
147,1,9,90,2012,18,1,3,1,3,1,6637.3447265625
148,1,9,90,2012,19,1,3,1,3,1,2107.02026367188
149,1,9,90,2012,20,1,3,1,3,1,489.203765869141
150,1,9,90,2012,21,1,3,1,3,1,90.5064468383789
151,1,9,90,2012,22,1,3,1,3,1,14.0229349136353
152,1,9,90,2012,23,1,3,1,3,1,1.22892093658447
153,1,9,90,2012,24,1,3,1,3,1,0.0507438965141773
154,1,9,90,2012,25,1,3,1,3,1,0.00101339037064463
155,1,9,90,2012,26,1,3,1,3,1,9.42078622756526e-06
156,1,9,90,2012,27,1,3,1,3,1,3.66547077135237e-08
157,1,9,90,2012,28,1,3,1,3,1,4.79057730984334e-11
158,1,9,90,2012,29,1,3,1,3,1,1.97209666674171e-14
159,1,9,90,2012,30,1,3,1,3,1,1.67816872390625e-18
160,1,9,90,2012,31,1,3,1,3,1,3.05524913513448e-23
161,1,9,90,2012,32,1,3,1,3,1,9.3326189632913e-29
162,1,9,90,2012,33,1,3,1,3,1,3.34861807240954e-35
163,1,9,90,2013,18,1,3,1,3,1,7165.10791015625
164,1,9,90,2013,19,1,3,1,3,1,2275.23803710938
165,1,9,90,2013,20,1,3,1,3,1,547.11279296875
166,1,9,90,2013,21,1,3,1,3,1,90.8339691162109
