,ScenarioID,CountryID,Year,AvailableVehiclesID,JSType_VSMID,LoadFactor
262,1,9,2022,11,9,1.0
263,1,9,2022,11,13,1.0
264,1,9,2023,4,1,0.963901283800055
265,1,9,2023,4,2,0.963901283800055
266,1,9,2023,4,3,0.963901283800055
267,1,9,2023,5,1,1.20833010081351
268,1,9,2023,5,2,1.20833010081351
269,1,9,2023,5,3,1.20833010081351
270,1,9,2023,6,1,0.990297343992831
271,1,9,2023,6,2,0.990297343992831
272,1,9,2023,6,3,0.990297343992831
273,1,9,2023,7,4,1.0
274,1,9,2023,7,10,1.0
275,1,9,2023,7,11,1.0
276,1,9,2023,7,12,1.0
277,1,9,2023,8,4,1.0
278,1,9,2023,8,10,1.0
279,1,9,2023,8,11,1.0
280,1,9,2023,8,12,1.0
281,1,9,2023,9,5,1.0
282,1,9,2023,9,6,1.0
283,1,9,2023,9,7,1.0
284,1,9,2023,10,9,1.0
285,1,9,2023,10,13,1.0
286,1,9,2023,11,9,1.0
287,1,9,2023,11,13,1.0
288,1,9,2024,4,1,0.964240810100786
289,1,9,2024,4,2,0.964240810100786
290,1,9,2024,4,3,0.964240810100786
291,1,9,2024,5,1,1.20833010081351
292,1,9,2024,5,2,1.20833010081351
293,1,9,2024,5,3,1.20833010081351
294,1,9,2024,6,1,0.990297343992831
295,1,9,2024,6,2,0.990297343992831
296,1,9,2024,6,3,0.990297343992831
297,1,9,2024,7,4,1.0
298,1,9,2024,7,10,1.0
299,1,9,2024,7,11,1.0
300,1,9,2024,7,12,1.0
301,1,9,2024,8,4,1.0
302,1,9,2024,8,10,1.0
303,1,9,2024,8,11,1.0
304,1,9,2024,8,12,1.0
305,1,9,2024,9,5,1.0
306,1,9,2024,9,6,1.0
307,1,9,2024,9,7,1.0
308,1,9,2024,10,9,1.0
309,1,9,2024,10,13,1.0
310,1,9,2024,11,9,1.0
311,1,9,2024,11,13,1.0
312,1,9,2025,4,1,0.964595138325408
313,1,9,2025,4,2,0.964595138325408
314,1,9,2025,4,3,0.964595138325408
315,1,9,2025,5,1,1.20833010081351
316,1,9,2025,5,2,1.20833010081351
317,1,9,2025,5,3,1.20833010081351
318,1,9,2025,6,1,0.990297343992831
319,1,9,2025,6,2,0.990297343992831
320,1,9,2025,6,3,0.990297343992831
321,1,9,2025,7,4,1.0
322,1,9,2025,7,10,1.0
323,1,9,2025,7,11,1.0
324,1,9,2025,7,12,1.0
325,1,9,2025,8,4,1.0
326,1,9,2025,8,10,1.0
