,CountryID,TechID,Year,TransTypeID,MassCatID,Description,AveCapacity,AveLoadFactor,AveAnnualKm,Investment,CostPerTrain,ExpectLife,FailSteep
69,9,2010,2081,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
70,9,2010,2082,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
71,9,2010,2083,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
72,9,2010,2084,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
73,9,2010,2085,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
74,9,2010,2086,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
75,9,2010,2087,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
76,9,2010,2088,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
77,9,2010,2089,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
78,9,2010,2090,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
79,9,2010,2091,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
80,9,2010,2092,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
81,9,2010,2093,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
82,9,2010,2094,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
83,9,2010,2095,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
84,9,2010,2096,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
85,9,2010,2097,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
86,9,2010,2098,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
87,9,2010,2099,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
88,9,2010,2100,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
89,9,2020,2012,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
90,9,2020,2013,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
91,9,2020,2014,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
92,9,2020,2015,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
93,9,2020,2016,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
94,9,2020,2017,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
95,9,2020,2018,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
96,9,2020,2019,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
97,9,2020,2020,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
98,9,2020,2021,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
99,9,2020,2022,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
100,9,2020,2023,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
101,9,2020,2024,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
102,9,2020,2025,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
103,9,2020,2026,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
104,9,2020,2027,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
105,9,2020,2028,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
106,9,2020,2029,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
107,9,2020,2030,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
108,9,2020,2031,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
109,9,2020,2032,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
110,9,2020,2033,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
111,9,2020,2034,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
112,9,2020,2035,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
113,9,2020,2036,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
114,9,2020,2037,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
115,9,2020,2038,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
116,9,2020,2039,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
117,9,2020,2040,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
118,9,2020,2041,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
119,9,2020,2042,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
120,9,2020,2043,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
121,9,2020,2044,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
122,9,2020,2045,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
123,9,2020,2046,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
124,9,2020,2047,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
125,9,2020,2048,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
126,9,2020,2049,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
127,9,2020,2050,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
128,9,2020,2051,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
129,9,2020,2052,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
130,9,2020,2053,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
131,9,2020,2054,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
132,9,2020,2055,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
133,9,2020,2056,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
134,9,2020,2057,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
135,9,2020,2058,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
136,9,2020,2059,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
137,9,2020,2060,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
