,CountryID,PolicyID,Year,MassCatID,TransTypeID,RollInv
324,9,0,2053,31,1,78765000
325,9,0,2053,32,1,865235008
326,9,0,2053,32,2,247800000
327,9,0,2053,33,1,182015008
328,9,0,2053,33,2,0
329,9,0,2053,34,1,65000000
330,9,0,2054,31,1,78765000
331,9,0,2054,32,1,865235008
332,9,0,2054,32,2,247800000
333,9,0,2054,33,1,182015008
334,9,0,2054,33,2,0
335,9,0,2054,34,1,65000000
336,9,0,2055,31,1,78765000
337,9,0,2055,32,1,865235008
338,9,0,2055,32,2,247800000
339,9,0,2055,33,1,182015008
340,9,0,2055,33,2,0
341,9,0,2055,34,1,65000000
342,9,0,2056,31,1,78765000
343,9,0,2056,32,1,865235008
344,9,0,2056,32,2,247800000
345,9,0,2056,33,1,182015008
346,9,0,2056,33,2,0
347,9,0,2056,34,1,65000000
348,9,0,2057,31,1,78765000
349,9,0,2057,32,1,865235008
350,9,0,2057,32,2,247800000
351,9,0,2057,33,1,182015008
352,9,0,2057,33,2,0
353,9,0,2057,34,1,65000000
354,9,0,2058,31,1,78765000
355,9,0,2058,32,1,865235008
356,9,0,2058,32,2,247800000
357,9,0,2058,33,1,182015008
358,9,0,2058,33,2,0
359,9,0,2058,34,1,65000000
360,9,0,2059,31,1,78765000
361,9,0,2059,32,1,865235008
362,9,0,2059,32,2,247800000
363,9,0,2059,33,1,182015008
364,9,0,2059,33,2,0
365,9,0,2059,34,1,65000000
366,9,0,2060,31,1,78765000
367,9,0,2060,32,1,865235008
368,9,0,2060,32,2,247800000
369,9,0,2060,33,1,182015008
370,9,0,2060,33,2,0
371,9,0,2060,34,1,65000000
372,9,0,2061,31,1,78765000
373,9,0,2061,32,1,865235008
374,9,0,2061,32,2,247800000
375,9,0,2061,33,1,182015008
376,9,0,2061,33,2,0
377,9,0,2061,34,1,65000000
378,9,0,2062,31,1,78765000
379,9,0,2062,32,1,865235008
380,9,0,2062,32,2,247800000
381,9,0,2062,33,1,182015008
382,9,0,2062,33,2,0
383,9,0,2062,34,1,65000000
384,9,0,2063,31,1,78765000
385,9,0,2063,32,1,865235008
386,9,0,2063,32,2,247800000
387,9,0,2063,33,1,182015008
388,9,0,2063,33,2,0
389,9,0,2063,34,1,65000000
390,9,0,2064,31,1,78765000
391,9,0,2064,32,1,865235008
392,9,0,2064,32,2,247800000
393,9,0,2064,33,1,182015008
394,9,0,2064,33,2,0
395,9,0,2064,34,1,65000000
396,9,0,2065,31,1,78765000
397,9,0,2065,32,1,865235008
398,9,0,2065,32,2,247800000
399,9,0,2065,33,1,182015008
400,9,0,2065,33,2,0
401,9,0,2065,34,1,65000000
402,9,0,2066,31,1,78765000
403,9,0,2066,32,1,865235008
404,9,0,2066,32,2,247800000
405,9,0,2066,33,1,182015008
406,9,0,2066,33,2,0
407,9,0,2066,34,1,65000000
408,9,0,2067,31,1,78765000
409,9,0,2067,32,1,865235008
410,9,0,2067,32,2,247800000
411,9,0,2067,33,1,182015008
412,9,0,2067,33,2,0
413,9,0,2067,34,1,65000000
414,9,0,2068,31,1,78765000
415,9,0,2068,32,1,865235008
416,9,0,2068,32,2,247800000
417,9,0,2068,33,1,182015008
418,9,0,2068,33,2,0
419,9,0,2068,34,1,65000000
420,9,0,2069,31,1,78765000
421,9,0,2069,32,1,865235008
422,9,0,2069,32,2,247800000
423,9,0,2069,33,1,182015008
424,9,0,2069,33,2,0
425,9,0,2069,34,1,65000000
426,9,0,2070,31,1,78765000
427,9,0,2070,32,1,865235008
428,9,0,2070,32,2,247800000
429,9,0,2070,33,1,182015008
430,9,0,2070,33,2,0
431,9,0,2070,34,1,65000000
432,9,0,2071,31,1,78765000
433,9,0,2071,32,1,865235008
434,9,0,2071,32,2,247800000
435,9,0,2071,33,1,182015008
436,9,0,2071,33,2,0
437,9,0,2071,34,1,65000000
438,9,0,2072,31,1,78765000
439,9,0,2072,32,1,865235008
440,9,0,2072,32,2,247800000
441,9,0,2072,33,1,182015008
442,9,0,2072,33,2,0
443,9,0,2072,34,1,65000000
444,9,0,2073,31,1,78765000
445,9,0,2073,32,1,865235008
446,9,0,2073,32,2,247800000
447,9,0,2073,33,1,182015008
448,9,0,2073,33,2,0
449,9,0,2073,34,1,65000000
450,9,0,2074,31,1,78765000
451,9,0,2074,32,1,865235008
452,9,0,2074,32,2,247800000
453,9,0,2074,33,1,182015008
454,9,0,2074,33,2,0
455,9,0,2074,34,1,65000000
456,9,0,2075,31,1,78765000
457,9,0,2075,32,1,865235008
458,9,0,2075,32,2,247800000
459,9,0,2075,33,1,182015008
460,9,0,2075,33,2,0
461,9,0,2075,34,1,65000000
462,9,0,2076,31,1,78765000
463,9,0,2076,32,1,865235008
464,9,0,2076,32,2,247800000
465,9,0,2076,33,1,182015008
466,9,0,2076,33,2,0
467,9,0,2076,34,1,65000000
468,9,0,2077,31,1,78765000
469,9,0,2077,32,1,865235008
470,9,0,2077,32,2,247800000
471,9,0,2077,33,1,182015008
472,9,0,2077,33,2,0
473,9,0,2077,34,1,65000000
474,9,0,2078,31,1,78765000
475,9,0,2078,32,1,865235008
476,9,0,2078,32,2,247800000
477,9,0,2078,33,1,182015008
478,9,0,2078,33,2,0
479,9,0,2078,34,1,65000000
480,9,0,2079,31,1,78765000
481,9,0,2079,32,1,865235008
482,9,0,2079,32,2,247800000
483,9,0,2079,33,1,182015008
484,9,0,2079,33,2,0
485,9,0,2079,34,1,65000000
486,9,0,2080,31,1,78765000
487,9,0,2080,32,1,865235008
488,9,0,2080,32,2,247800000
489,9,0,2080,33,1,182015008
490,9,0,2080,33,2,0
491,9,0,2080,34,1,65000000
492,9,0,2081,31,1,78765000
493,9,0,2081,32,1,865235008
494,9,0,2081,32,2,247800000
495,9,0,2081,33,1,182015008
496,9,0,2081,33,2,0
497,9,0,2081,34,1,65000000
498,9,0,2082,31,1,78765000
499,9,0,2082,32,1,865235008
500,9,0,2082,32,2,247800000
501,9,0,2082,33,1,182015008
502,9,0,2082,33,2,0
503,9,0,2082,34,1,65000000
504,9,0,2083,31,1,78765000
505,9,0,2083,32,1,865235008
506,9,0,2083,32,2,247800000
507,9,0,2083,33,1,182015008
508,9,0,2083,33,2,0
509,9,0,2083,34,1,65000000
510,9,0,2084,31,1,78765000
511,9,0,2084,32,1,865235008
512,9,0,2084,32,2,247800000
513,9,0,2084,33,1,182015008
514,9,0,2084,33,2,0
515,9,0,2084,34,1,65000000
516,9,0,2085,31,1,78765000
517,9,0,2085,32,1,865235008
518,9,0,2085,32,2,247800000
519,9,0,2085,33,1,182015008
520,9,0,2085,33,2,0
521,9,0,2085,34,1,65000000
522,9,0,2086,31,1,78765000
523,9,0,2086,32,1,865235008
524,9,0,2086,32,2,247800000
525,9,0,2086,33,1,182015008
526,9,0,2086,33,2,0
527,9,0,2086,34,1,65000000
528,9,0,2087,31,1,78765000
529,9,0,2087,32,1,865235008
530,9,0,2087,32,2,247800000
531,9,0,2087,33,1,182015008
532,9,0,2087,33,2,0
533,9,0,2087,34,1,65000000
534,9,0,2088,31,1,78765000
535,9,0,2088,32,1,865235008
536,9,0,2088,32,2,247800000
537,9,0,2088,33,1,182015008
538,9,0,2088,33,2,0
539,9,0,2088,34,1,65000000
540,9,0,2089,31,1,78765000
541,9,0,2089,32,1,865235008
542,9,0,2089,32,2,247800000
