,ScenarioID,CountryID,Year,GDP_GR,DisposableIncome,NHH_tot,NHH_GR,HHUrban_SH,BuyFirstCar,BuySecondCar,Pop,ShPop65Plus,shPopTeleWork,chTrips4dayweek,chTripsComGig,ATL_TeleWork,ATL_Com_Prox,ATL_ComGig,shPopTeleConf,chTripsBusiAir,chTripsBusiGig,ATL_TeleConf,ATL_BusiAir,chDomesticHolidays,ATL_LeiLong_Wkds,chTripsLeiLoc,chTripsLeiLocBlend,ATL_LeiLoc_WC,chTripsSchool,ATL_School_Prox,chTripsShop,chTripsTeleShop,ATL_Shop_Local,chTripsTelePB,ATL_PB_Local,chTripsTeleActivity,ATL_Other_Prox
12,1,9,2024,1.04833762985534,1.04833762985534,28879034,1.06984582344233,1.04641453633088,5.5,0.0,68400000,0.189748004078865,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
13,1,9,2025,1.05028150261436,1.05028150261436,29005696,1.0745381296855,1.05103811795142,5.5,0.0,68700000,0.19269472360611,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
14,1,9,2026,1.19887350619888,1.19887350619888,29090138,1.07766633384761,1.0559250005299,5.5,0.0,68900000,0.195736795663834,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
15,1,9,2027,1.05348383635022,1.05348383635022,29216800,1.08235864009078,1.06093622221104,5.5,0.0,69200000,0.199094951152802,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
16,1,9,2028,1.20099606373104,1.20099606373104,29301242,1.08548684425289,1.06600946665833,5.5,0.0,69400000,0.202698647975922,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
17,1,9,2029,1.20183654771937,1.20183654771937,29385682,1.08861504841501,1.07097501284648,5.5,0.0,69600000,0.206406816840172,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
18,1,9,2030,1.20267221518047,1.20267221518047,29470124,1.09174325257712,1.07626083319231,5.5,0.0,69800000,0.210204362869263,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
19,1,9,2031,0.966048502139802,0.966048502139802,29596786,1.09643555882029,1.08190569273443,5.5,0.0,70100000,0.213955238461494,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
20,1,9,2032,1.11152204836416,1.11152204836416,29681228,1.0995637629824,1.08756060880272,5.5,0.0,70300000,0.217443734407425,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
21,1,9,2033,1.11234042553193,1.11234042553193,29765670,1.10269196714451,1.09310146096855,5.5,0.0,70500000,0.220779702067375,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
