CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Under 10 km,10 km to 30 km,30 km and over,Work from home,Other
20006,00AGGG,00AGGG : Cantelowes,Standard Table (ST) wards,SWARD,3590,252,90,,839
20007,00AGGH,00AGGH : Fortune Green,Standard Table (ST) wards,SWARD,4052,562,157,,874
20008,00AGGJ,00AGGJ : Frognal and Fitzjohns,Standard Table (ST) wards,SWARD,4284,466,193,,1049
20009,00AGGK,00AGGK : Gospel Oak,Standard Table (ST) wards,SWARD,3256,300,97,,824
20010,00AGGL,00AGGL : Hampstead Town,Standard Table (ST) wards,SWARD,3985,422,147,,1114
20011,00AGGM,00AGGM : Haverstock,Standard Table (ST) wards,SWARD,3491,249,119,,688
20012,00AGGN,00AGGN : Highgate,Standard Table (ST) wards,SWARD,3649,323,122,,945
20013,00AGGP,00AGGP : Holborn and Covent Garden,Standard Table (ST) wards,SWARD,3698,229,115,,785
20014,00AGGQ,00AGGQ : Kentish Town,Standard Table (ST) wards,SWARD,4125,311,109,,989
20015,00AGGR,00AGGR : Kilburn,Standard Table (ST) wards,SWARD,3517,399,118,,655
20016,00AGGS,00AGGS : King's Cross,Standard Table (ST) wards,SWARD,3054,236,154,,656
20017,00AGGT,00AGGT : Regent's Park,Standard Table (ST) wards,SWARD,3602,246,116,,714
20018,00AGGU,00AGGU : St Pancras and Somers Town,Standard Table (ST) wards,SWARD,3300,237,86,,597
20019,00AGGW,00AGGW : Swiss Cottage,Standard Table (ST) wards,SWARD,4625,450,135,,924
20020,00AGGX,00AGGX : West Hampstead,Standard Table (ST) wards,SWARD,4445,536,111,,806
20021,00AHGE,00AHGE : Addiscombe,Standard Table (ST) wards,SWARD,3966,3150,278,,937
20022,00AHGF,00AHGF : Ashburton,Standard Table (ST) wards,SWARD,3550,1587,154,,864
20023,00AHGG,00AHGG : Bensham Manor,Standard Table (ST) wards,SWARD,4183,2004,174,,1013
20024,00AHGH,00AHGH : Broad Green,Standard Table (ST) wards,SWARD,4065,1642,150,,775
20025,00AHGJ,00AHGJ : Coulsdon East,Standard Table (ST) wards,SWARD,2830,1749,206,,958
20026,00AHGK,00AHGK : Coulsdon West,Standard Table (ST) wards,SWARD,3083,2033,215,,1118
20027,00AHGL,00AHGL : Croham,Standard Table (ST) wards,SWARD,3730,2880,245,,1041
20028,00AHGM,00AHGM : Fairfield,Standard Table (ST) wards,SWARD,3268,3139,314,,882
20029,00AHGN,00AHGN : Fieldway,Standard Table (ST) wards,SWARD,2344,700,117,,501
20030,00AHGP,00AHGP : Heathfield,Standard Table (ST) wards,SWARD,3600,1821,192,,1030
20031,00AHGQ,00AHGQ : Kenley,Standard Table (ST) wards,SWARD,3034,2299,247,,1038
20032,00AHGR,00AHGR : New Addington,Standard Table (ST) wards,SWARD,2481,837,105,,524
20033,00AHGS,00AHGS : Norbury,Standard Table (ST) wards,SWARD,3424,1779,144,,943
20034,00AHGT,00AHGT : Purley,Standard Table (ST) wards,SWARD,2904,2322,187,,978
20035,00AHGU,00AHGU : Sanderstead,Standard Table (ST) wards,SWARD,2758,1805,204,,903
20036,00AHGW,00AHGW : Selhurst,Standard Table (ST) wards,SWARD,3669,2048,254,,800
20037,00AHGX,00AHGX : Selsdon and Ballards,Standard Table (ST) wards,SWARD,3267,1616,177,,914
20038,00AHGY,00AHGY : Shirley,Standard Table (ST) wards,SWARD,3376,1761,174,,954
20039,00AHGZ,00AHGZ : South Norwood,Standard Table (ST) wards,SWARD,3557,2469,181,,1017
20040,00AHHA,00AHHA : Thornton Heath,Standard Table (ST) wards,SWARD,3740,2035,192,,967
20041,00AHHB,00AHHB : Upper Norwood,Standard Table (ST) wards,SWARD,3714,1783,150,,983
20042,00AHHC,00AHHC : Waddon,Standard Table (ST) wards,SWARD,3541,1862,150,,957
