,GEO_CODE,One person household\ Aged 65 and over,One person household\ Aged 0 to 64,One family only\ All aged 65 and over,One family only\ Lone parent\ All children non-dependent,One family only\ Couple family\ No children,One family only\ Couple family\ With dependent children,One family only\ Couple family\ All children non-dependent,One family only\ Lone parent\ With dependent children,Other household types\ Other (including all full-time students and all aged 65 and over)
1346,S01001345,106,101,22,16,63,49,19,21,18
1347,S01001337,28,44,19,10,74,111,29,10,12
1348,S01001339,34,37,29,12,68,55,17,27,14
1349,S01001343,70,53,39,14,62,91,40,28,20
1350,S01001338,36,48,12,12,35,86,28,39,18
1351,S01001334,31,35,27,19,51,76,21,47,23
1352,S01001340,46,28,31,15,39,63,27,35,17
1353,S01001342,93,54,42,17,68,73,22,13,20
1354,S01001352,62,55,39,8,91,80,29,16,15
1355,S01001341,50,91,21,10,50,77,24,41,16
1356,S01001349,15,30,17,9,86,62,38,9,13
1357,S01001365,36,33,16,19,36,51,36,31,10
1358,S01001323,15,45,13,7,56,74,11,18,13
1359,S01001324,51,66,16,19,29,61,21,89,29
1360,S01001327,63,48,41,19,41,55,22,42,14
1361,S01001329,44,32,19,14,34,43,28,26,17
1362,S01001328,58,42,31,18,38,62,26,46,22
1363,S01001325,31,43,15,16,23,55,30,46,21
1364,S01001326,62,27,62,26,51,83,36,39,20
1365,S01001331,80,40,51,20,50,82,25,29,7
1366,S01001332,74,59,37,22,65,77,31,29,14
1367,S01001335,122,80,62,22,49,69,28,31,23
1368,S01001336,66,33,56,15,45,92,36,25,11
1369,S01001330,23,24,26,8,91,123,46,10,7
1370,S01001333,112,86,42,20,59,46,16,53,15
1371,S01001348,85,49,38,15,40,49,23,22,27
1372,S01001357,145,81,55,26,46,28,16,18,18
1373,S01001361,25,35,16,6,42,60,16,14,13
1374,S01001363,61,113,22,9,80,30,9,12,17
1375,S01001370,57,26,34,11,66,68,23,11,10
1376,S01001367,89,41,46,11,55,47,24,15,11
1377,S01001362,48,6,26,7,70,57,32,6,4
1378,S01001374,13,14,23,8,46,63,36,10,8
1379,S01001377,81,67,47,12,51,51,33,30,13
1380,S01001381,56,41,49,18,77,68,40,12,14
1381,S01001384,33,59,23,25,87,71,43,41,18
1382,S01001387,30,24,27,21,78,67,52,20,19
1383,S01001390,32,27,10,18,64,105,44,10,9
1384,S01001389,9,23,8,11,39,49,31,13,11
1385,S01001391,17,31,10,12,57,90,28,32,17
1386,S01001395,15,40,11,6,50,123,27,41,22
1387,S01001405,11,24,23,5,89,120,27,7,7
1388,S01001406,36,21,16,7,47,67,29,2,13
1389,S01001404,1,19,4,2,83,119,11,1,2
1390,S01001402,14,20,11,7,94,119,45,13,8
1391,S01001403,2,18,8,2,86,153,38,6,11
1392,S01001398,43,26,41,11,56,110,36,4,17
1393,S01001393,34,31,21,3,62,44,21,2,12
1394,S01001401,41,44,38,22,28,63,21,30,15
1395,S01001400,55,61,34,19,39,68,30,72,17
1396,S01001399,52,75,14,27,44,61,27,72,22
1397,S01001397,34,63,14,24,29,71,26,54,17
1398,S01001396,21,48,12,9,54,78,26,27,18
1399,S01001392,22,41,6,21,29,30,15,38,17
1400,S01001394,12,60,3,5,41,44,9,40,15
1401,S01001388,76,135,20,21,60,49,11,61,27
1402,S01001386,66,179,23,14,68,57,16,35,20
1403,S01001382,166,94,41,12,26,13,6,18,17
1404,S01001376,81,165,27,9,69,42,10,16,15
1405,S01001371,93,109,26,6,53,45,11,13,10
1406,S01001378,49,58,29,7,55,52,13,8,12
1407,S01001385,134,108,36,16,70,55,16,28,7
1408,S01001380,107,86,44,21,69,51,16,22,26
1409,S01001366,65,16,57,6,74,104,37,6,13
1410,S01001356,47,42,37,8,68,53,25,2,6
1411,S01001359,43,29,26,8,47,81,26,5,11
1412,S01001351,41,80,15,9,45,47,16,7,10
1413,S01001346,56,34,31,8,67,63,25,13,12
1414,S01001347,27,26,23,5,68,102,26,4,6
1415,S01001353,8,12,8,4,37,111,19,9,9
1416,S01001372,14,18,11,6,83,109,24,10,6
1417,S01001379,105,59,37,12,84,93,27,24,14
1418,S01001383,44,47,21,14,55,58,23,15,12
1419,S01001373,25,43,18,11,48,53,22,12,8
1420,S01001407,69,40,38,12,61,86,33,13,11
1421,S01001408,84,68,27,13,66,71,22,29,15
1422,S01001409,50,32,22,14,73,100,27,27,13
1423,S01001540,5,18,13,4,40,143,15,7,10
1424,S01001508,10,25,13,10,63,140,44,11,11
1425,S01001481,36,23,61,21,47,110,36,18,11
1426,S01001523,11,39,4,6,49,125,14,12,13
1427,S01001526,42,42,20,7,42,68,19,21,10
1428,S01001534,19,11,24,9,54,82,35,5,7
1429,S01001518,39,46,23,33,39,76,49,50,20
1430,S01001530,44,35,32,20,38,70,37,46,18
1431,S01001527,53,40,27,17,37,91,29,30,13
1432,S01001538,39,26,50,14,62,79,45,19,11
1433,S01001529,68,39,40,13,38,56,19,19,5
1434,S01001532,59,30,35,3,46,58,18,4,6
1435,S01001533,69,26,66,13,50,90,42,3,12
1436,S01001519,88,50,70,10,69,97,28,7,9
1437,S01001521,99,51,49,10,66,101,44,13,12
1438,S01001452,61,21,43,4,66,88,23,5,13
1439,S01001517,215,87,72,17,40,31,23,17,18
1440,S01001515,65,18,43,9,43,74,31,7,4
1441,S01001511,34,17,30,4,43,63,34,8,6
1442,S01001501,66,24,57,8,72,77,39,8,6
1443,S01001495,33,18,33,9,41,54,30,10,11
1444,S01001491,36,22,38,10,52,118,32,11,9
1445,S01001484,43,27,32,5,78,96,34,5,14
1446,S01001475,54,28,40,14,52,56,29,9,8
1447,S01001473,99,37,54,9,51,69,21,5,9
1448,S01001483,36,16,43,7,69,99,39,9,15
1449,S01001486,96,9,35,9,41,86,30,1,9
1450,S01001496,91,49,60,8,49,93,29,11,5
1451,S01001507,10,27,11,7,54,133,43,5,12
1452,S01001498,12,17,15,7,55,98,41,8,7
1453,S01001489,31,50,19,7,54,93,15,13,8
1454,S01001488,34,37,47,11,76,103,32,20,10
1455,S01001465,29,20,33,6,46,69,23,12,7
1456,S01001482,54,36,25,14,34,63,21,47,12
1457,S01001476,32,19,40,4,59,133,41,21,13
1458,S01001470,25,12,31,12,67,123,40,4,15
1459,S01001454,43,27,45,10,71,102,37,19,12
1460,S01001443,40,43,45,13,75,99,44,14,7
1461,S01001440,25,21,21,18,74,119,45,22,8
1462,S01001445,39,25,34,12,41,85,22,12,15
1463,S01001447,23,20,39,6,57,92,23,4,15
1464,S01001436,44,22,42,13,70,112,31,10,20
1465,S01001438,45,10,46,9,35,59,25,2,17
1466,S01001456,79,27,61,11,46,48,19,2,9
1467,S01001462,55,32,53,11,29,90,46,14,15
1468,S01001469,37,23,48,6,59,87,42,4,8
1469,S01001459,42,9,47,11,72,86,51,3,16
1470,S01001451,41,16,32,7,47,76,31,14,10
1471,S01001449,44,15,30,2,39,70,25,3,7
1472,S01001466,24,10,27,13,49,85,40,10,10
1473,S01001535,45,38,39,22,63,90,42,16,10
1474,S01001499,49,39,26,11,64,124,27,24,20
1475,S01001528,21,17,21,8,52,134,51,11,18
1476,S01001463,18,17,26,4,29,74,36,4,8
1477,S01001461,32,11,59,15,57,93,46,11,9
1478,S01001458,54,45,37,13,82,106,38,8,9
1479,S01001460,18,13,28,12,35,90,29,7,11
1480,S01001455,48,19,46,13,28,84,37,16,14
1481,S01001446,62,14,74,8,51,78,51,6,14
1482,S01001450,63,12,71,13,40,80,27,4,16
1483,S01001468,26,16,38,6,34,68,34,4,11
1484,S01001474,87,17,55,20,51,76,45,21,24
1485,S01001448,31,34,40,12,56,67,34,12,7
1486,S01001441,70,15,64,6,50,81,28,10,12
1487,S01001435,40,35,47,22,50,107,48,12,17
1488,S01001430,53,22,49,11,63,110,28,10,19
1489,S01001439,37,11,49,13,44,91,30,9,4
1490,S01001434,83,18,60,8,48,105,54,6,9
1491,S01001423,44,73,11,6,66,93,20,14,16
1492,S01001426,35,42,20,12,59,80,23,16,9
1493,S01001429,96,59,29,25,32,39,17,29,7
1494,S01001428,50,48,32,26,50,88,30,63,23
1495,S01001424,94,96,23,27,63,71,38,55,31
1496,S01001425,70,79,31,22,54,67,38,45,24
1497,S01001432,9,34,5,10,41,101,31,7,11
1498,S01003660,1,32,3,0,100,128,16,11,16
1499,S01001431,17,16,16,11,50,141,53,17,11
1500,S01001427,17,28,21,9,64,131,17,19,16
1501,S01001433,31,14,50,8,59,100,43,11,14
1502,S01001437,31,22,40,10,45,108,54,9,12
1503,S01001442,21,16,37,9,47,82,30,7,14
1504,S01001444,25,64,10,6,55,124,35,27,24
1505,S01001477,15,28,23,7,64,144,47,16,8
1506,S01001472,41,11,40,10,66,84,54,8,12
1507,S01001457,50,30,41,6,79,91,40,8,18
1508,S01001487,32,31,19,16,28,56,38,23,13
1509,S01001479,66,35,44,9,42,56,17,13,9
1510,S01001478,41,8,49,11,45,69,36,2,6
1511,S01001471,27,14,33,9,47,86,22,3,16
1512,S01001453,22,20,18,10,59,119,39,12,7
1513,S01001464,41,48,30,11,66,103,42,14,5
1514,S01001467,19,23,10,8,62,127,40,8,9
1515,S01001480,17,10,26,9,44,59,24,9,2
1516,S01001493,31,20,39,13,64,99,29,11,8
1517,S01001485,11,17,20,7,46,87,34,11,13
1518,S01001494,71,97,36,15,46,66,28,28,24
1519,S01001490,67,121,26,21,79,64,23,35,20
1520,S01001497,74,117,18,24,44,41,20,38,17
1521,S01001505,48,12,66,16,84,97,49,7,12
1522,S01001531,31,157,10,12,76,93,22,21,15
1523,S01001510,98,55,20,10,40,44,17,16,12
1524,S01001506,53,101,18,11,45,36,20,18,14
1525,S01001504,61,97,39,24,84,65,24,25,24
1526,S01001513,47,87,15,20,21,63,12,91,22
1527,S01001512,39,76,17,36,30,65,31,52,20
1528,S01001509,60,64,31,32,42,88,27,45,15
1529,S01001500,64,68,17,13,39,64,24,66,16
1530,S01001502,26,13,31,11,67,112,42,8,9
1531,S01001503,10,12,14,8,49,130,44,13,10
1532,S01001492,64,68,28,25,69,73,41,37,19
1533,S01001536,50,63,23,14,50,74,26,32,14
1534,S01001537,54,78,8,13,36,70,20,26,11
1535,S01001525,43,36,20,21,62,71,53,22,6
1536,S01001514,36,49,14,10,61,105,27,14,12
1537,S01001520,41,35,19,14,49,80,29,27,18
1538,S01001524,58,76,41,15,73,72,42,48,10
1539,S01001516,64,37,40,24,35,63,24,15,16
1540,S01001522,120,53,60,24,65,66,36,25,12
1541,S01001539,20,27,14,5,52,121,24,14,3
1542,S01001541,50,28,34,10,55,79,50,14,16
1543,S01001542,19,36,24,4,57,92,26,9,8
1544,S01001544,66,39,24,17,56,87,42,27,21
1545,S01001543,22,44,7,8,56,89,27,23,15
1546,S01001545,9,48,13,6,60,114,23,13,4
1547,S01001546,74,91,23,21,34,70,30,55,21
1548,S01001547,51,64,26,27,42,78,20,51,12
1549,S01001548,18,55,17,2,70,76,16,5,20
1550,S01001549,56,46,28,19,62,79,40,14,22
1551,S01001555,55,30,34,11,56,64,32,23,19
1552,S01001560,38,60,11,7,54,63,13,29,18
1553,S01001561,26,34,29,16,49,68,23,24,20
1554,S01001571,30,28,26,23,42,61,18,38,28
1555,S01001579,36,39,20,10,68,76,14,33,22
1556,S01001582,44,29,19,8,41,48,25,31,14
1557,S01001563,18,25,18,6,62,85,9,4,5
1558,S01001565,98,50,45,11,56,65,18,30,12
1559,S01001564,38,28,37,12,43,65,16,8,3
1560,S01001566,34,21,15,3,62,89,22,8,7
1561,S01001572,27,34,15,7,42,67,27,11,3
1562,S01001575,64,86,16,8,78,74,17,26,8
1563,S01001568,37,49,30,9,77,70,14,15,14
1564,S01001584,64,65,37,21,55,59,15,31,21
1565,S01001581,18,29,22,12,69,78,33,10,10
1566,S01001570,3,9,3,1,42,99,6,6,5
1567,S01001586,8,8,5,2,37,86,11,7,6
1568,S01001598,35,13,36,9,61,60,24,10,11
1569,S01001599,101,182,34,24,79,43,17,20,22
1570,S01001590,21,47,26,5,52,91,15,20,18
1571,S01001594,134,128,31,7,76,39,13,14,17
1572,S01001600,141,147,49,13,77,61,23,31,26
1573,S01001597,91,104,29,4,56,44,8,12,16
1574,S01001606,37,35,18,11,39,31,21,20,18
1575,S01001585,137,104,46,14,45,65,17,50,26
1576,S01001580,45,30,33,12,58,52,18,19,7
1577,S01001574,51,40,37,18,49,68,33,35,23
1578,S01001583,34,7,20,6,34,35,13,18,15
1579,S01001593,47,70,20,13,58,68,21,17,25
1580,S01001607,47,42,21,5,98,106,31,31,18
1581,S01001596,49,43,36,9,50,73,22,14,20
1582,S01001592,40,41,20,17,35,68,21,52,28
1583,S01001588,28,67,26,11,33,75,17,39,22
1584,S01001619,45,31,31,15,55,51,28,20,21
1585,S01001613,32,26,22,13,37,88,22,46,21
1586,S01001617,52,42,32,14,53,56,26,26,10
1587,S01001625,53,48,26,15,45,58,27,33,20
1588,S01001629,59,37,22,6,66,74,13,13,12
1589,S01001630,45,89,17,13,44,31,9,21,14
1590,S01001620,120,54,70,9,67,46,31,10,14
1591,S01001621,33,24,33,15,42,75,34,15,15
1592,S01001627,49,35,22,17,61,40,42,24,18
1593,S01001631,52,51,45,9,62,79,29,19,20
1594,S01001628,26,31,9,10,41,52,14,37,10
1595,S01001637,28,16,28,9,76,81,27,13,10
1596,S01001638,78,92,25,10,86,69,30,16,20
1597,S01001632,1,17,4,2,47,110,19,6,4
1598,S01001634,18,27,13,9,88,122,19,11,4
1599,S01001639,89,53,40,11,57,50,19,15,10
1600,S01001635,33,49,37,15,76,74,16,17,5
1601,S01001636,13,17,16,1,42,87,16,7,3
1602,S01001602,33,29,35,11,64,52,23,10,9
1603,S01001603,39,81,27,11,62,73,29,21,15
1604,S01001604,14,40,4,12,22,52,24,47,20
1605,S01001595,28,55,18,15,37,73,14,48,10
1606,S01001591,57,27,36,24,44,44,23,19,15
1607,S01001576,55,35,31,12,52,37,27,12,15
1608,S01001567,37,81,17,3,87,123,29,18,9
1609,S01001577,33,29,29,12,44,79,39,14,15
1610,S01001587,83,61,53,19,26,62,24,21,30
1611,S01001589,76,62,36,10,76,54,24,23,11
1612,S01001562,24,31,16,15,62,57,30,22,11
1613,S01001569,5,34,1,4,61,72,12,17,8
1614,S01001559,32,25,24,11,51,32,18,12,16
1615,S01001558,62,21,43,9,71,69,33,20,14
1616,S01001556,47,45,26,10,68,100,37,18,18
1617,S01001552,43,39,17,16,74,91,31,18,12
1618,S01001578,55,26,38,17,43,62,35,12,9
1619,S01001605,51,27,32,7,48,60,22,12,6
1620,S01001633,36,22,40,8,94,112,33,3,13
1621,S01001640,25,10,39,1,59,79,38,3,4
1622,S01001642,106,41,61,15,71,69,40,21,9
1623,S01001654,42,19,27,13,53,58,17,10,12
1624,S01001655,37,30,34,6,57,60,15,9,9
1625,S01001554,51,41,43,14,96,108,23,13,8
1626,S01001557,19,27,12,10,98,134,29,16,10
1627,S01001550,24,29,27,5,62,76,18,12,7
1628,S01001551,45,36,45,14,76,75,25,19,13
1629,S01001553,53,57,31,9,79,70,17,14,18
1630,S01001611,25,54,25,4,79,80,28,13,11
1631,S01001616,6,16,11,2,50,94,12,5,8
1632,S01001612,37,30,38,10,74,93,37,6,5
1633,S01001623,78,46,45,12,55,55,37,23,10
1634,S01001624,71,58,37,21,63,97,36,27,14
1635,S01001626,37,20,28,16,39,97,25,19,14
1636,S01001622,41,62,28,20,45,81,21,51,16
1637,S01001614,134,55,34,10,43,39,11,9,10
1638,S01001608,51,82,24,7,86,110,10,21,7
1639,S01001610,81,70,26,9,58,42,10,13,12
1640,S01001615,59,65,19,13,62,69,21,23,17
1641,S01001609,46,29,27,11,56,103,31,29,25
1642,S01001646,18,37,17,3,55,64,18,14,6
1643,S01001656,93,65,56,19,85,68,23,26,15
1644,S01001659,68,19,56,9,56,56,15,7,7
1645,S01001660,82,22,45,7,90,46,11,8,4
1646,S01001661,43,37,39,9,65,55,14,12,15
1647,S01001668,71,28,69,4,70,58,12,18,8
1648,S01001665,120,18,78,3,53,68,13,3,7
1649,S01001667,104,33,67,3,61,50,23,13,9
1650,S01001669,103,81,28,5,46,55,6,35,12
1651,S01001658,60,29,32,12,62,109,27,20,12
1652,S01001663,58,27,38,10,78,86,20,10,17
1653,S01001662,52,28,43,22,46,63,22,26,19
1654,S01001666,54,34,40,7,45,66,10,9,7
1655,S01001657,25,25,16,3,55,50,11,7,14
1656,S01001664,10,14,12,4,34,90,6,6,6
1657,S01001652,31,34,31,3,89,96,25,11,6
1658,S01001643,60,36,36,5,67,78,25,10,7
1659,S01001618,67,69,42,13,84,89,11,14,20
1660,S01001573,17,41,20,4,67,75,14,14,9
1661,S01001641,59,24,30,11,51,53,23,16,8
1662,S01001601,32,62,35,8,100,70,21,10,12
1663,S01001649,83,32,43,20,43,58,31,24,15
1664,S01001648,60,28,30,17,36,65,34,20,14
1665,S01001650,57,25,29,10,47,90,12,27,11
1666,S01001651,96,48,43,8,71,82,21,11,23
1667,S01001653,38,71,18,14,53,53,12,31,16
1668,S01001645,50,76,27,7,61,94,19,20,20
1669,S01001647,40,32,40,5,61,64,21,15,5
1670,S01001644,30,22,27,6,71,81,27,14,15
1671,S01001682,5,26,6,3,38,93,31,12,6
1672,S01001712,14,15,12,8,42,53,27,9,6
1673,S01001740,17,56,18,10,47,99,28,12,10
1674,S01001733,44,34,24,10,44,66,25,21,17
1675,S01001725,59,36,37,15,41,66,17,27,8
1676,S01001757,39,58,22,13,45,76,27,15,14
1677,S01001724,83,47,26,23,31,54,18,42,21
1678,S01001716,39,45,25,18,42,76,29,25,15
1679,S01001678,12,29,15,6,68,127,42,13,8
1680,S01001684,27,12,32,10,46,76,29,9,13
1681,S01001776,77,34,20,10,42,54,24,12,9
1682,S01001788,21,20,27,12,51,107,48,12,9
1683,S01001785,13,15,15,5,43,102,29,4,10
1684,S01001786,13,13,17,7,53,80,15,7,5
1685,S01001787,25,14,33,4,51,62,30,6,12
1686,S01001761,77,71,28,10,45,43,19,25,17
1687,S01001765,118,52,39,19,57,101,24,10,22
1688,S01001760,43,32,18,7,33,74,26,19,21
1689,S01001778,57,68,14,25,73,47,31,42,29
1690,S01001770,27,91,8,6,32,35,11,41,14
1691,S01001759,42,111,10,11,42,35,11,52,12
1692,S01001783,24,54,2,12,19,46,10,72,18
1693,S01001789,16,48,6,8,66,58,9,29,31
1694,S01001732,18,19,21,1,44,52,39,15,11
1695,S01001749,80,48,55,19,62,57,20,16,15
1696,S01001750,49,17,45,13,59,56,39,16,8
1697,S01001744,8,7,8,4,38,93,17,11,9
1698,S01001751,56,76,36,10,59,75,35,30,24
1699,S01001753,37,39,10,18,27,62,34,43,37
1700,S01001741,25,20,19,20,44,53,25,25,15
1701,S01001742,23,60,16,10,24,59,20,44,25
1702,S01001743,40,62,27,27,43,69,34,48,26
1703,S01001747,72,33,48,30,46,69,40,14,21
1704,S01001720,6,18,10,5,43,105,20,15,5
1705,S01001715,7,14,8,3,50,142,44,12,11
1706,S01001713,9,13,8,7,40,145,33,13,15
1707,S01001709,16,60,5,2,42,76,19,17,5
1708,S01001708,83,37,43,7,60,86,29,5,13
1709,S01001702,142,22,54,11,52,70,44,6,12
1710,S01001721,57,47,45,5,49,61,13,9,4
1711,S01001685,55,34,30,14,37,50,24,40,13
1712,S01001676,58,21,54,12,57,108,23,7,11
1713,S01001692,26,22,18,14,29,65,24,19,15
1714,S01001690,42,16,23,4,24,77,8,12,9
1715,S01001693,4,25,2,2,67,132,4,11,7
1716,S01001705,2,36,4,4,49,86,12,19,5
1717,S01001703,10,35,10,5,43,114,15,12,12
1718,S01001699,3,10,4,3,36,114,17,4,5
1719,S01001697,7,32,20,9,41,92,36,22,14
1720,S01001691,34,18,51,8,58,97,41,10,6
1721,S01001723,36,20,28,3,65,81,23,13,5
1722,S01001704,42,17,49,8,64,102,45,10,8
1723,S01001726,18,11,20,8,39,91,27,11,3
1724,S01001700,38,13,59,12,47,121,43,6,8
1725,S01001687,154,37,87,17,51,80,30,10,8
1726,S01001683,50,43,36,8,60,77,22,14,3
1727,S01001679,22,26,26,1,45,107,14,3,7
1728,S01001680,30,11,45,6,48,56,31,3,5
1729,S01001689,32,18,44,10,56,77,20,5,11
1730,S01001686,45,18,48,6,61,99,34,18,15
1731,S01001681,22,19,36,2,44,78,29,4,7
1732,S01001672,55,31,30,14,39,42,21,23,9
1733,S01001673,21,52,21,6,54,87,8,20,6
1734,S01001675,41,52,35,8,48,70,23,10,5
1735,S01001674,98,33,41,11,35,56,30,21,10
1736,S01001670,35,28,30,8,52,70,31,7,7
1737,S01001677,28,25,36,7,64,95,36,12,11
1738,S01001671,15,16,14,4,37,77,21,8,7
1739,S01001688,58,90,19,6,71,92,13,29,5
1740,S01001696,30,62,30,9,42,81,27,19,9
1741,S01001695,33,38,35,6,70,80,26,14,5
1742,S01001701,115,41,53,17,45,71,25,24,17
1743,S01001707,86,87,21,24,48,50,21,35,22
1744,S01001694,48,72,24,13,58,48,19,15,11
1745,S01001698,31,23,24,8,35,62,16,9,7
1746,S01001710,42,88,31,8,43,65,17,9,8
1747,S01001717,28,23,32,9,48,103,31,12,4
1748,S01001711,22,24,17,14,54,90,32,18,8
1749,S01001719,24,8,23,3,47,98,40,9,11
1750,S01001714,34,13,40,7,41,82,31,7,7
1751,S01001706,32,9,36,8,41,93,38,10,9
1752,S01001718,11,15,12,5,33,69,12,5,9
1753,S01001722,41,23,27,13,34,87,31,7,16
1754,S01001727,53,20,44,9,49,107,35,12,19
1755,S01001734,28,14,24,3,38,61,25,2,5
1756,S01001728,15,11,20,9,36,83,37,11,5
1757,S01001730,25,11,28,10,45,78,26,4,7
1758,S01001735,22,10,17,7,23,63,21,6,7
1759,S01001729,44,36,37,13,67,113,32,19,15
1760,S01001731,21,11,31,6,37,72,38,1,4
1761,S01001745,44,28,37,15,69,109,22,18,10
1762,S01001737,21,24,16,7,50,81,18,12,8
1763,S01001739,16,31,11,8,40,91,11,20,6
1764,S01001756,109,28,75,5,25,46,18,2,8
1765,S01001748,34,15,38,4,54,72,26,0,5
1766,S01001758,108,27,48,5,46,82,19,5,6
1767,S01001777,36,28,29,7,49,110,38,8,12
1768,S01001775,78,17,37,7,38,82,25,7,12
1769,S01001763,22,10,34,8,25,123,29,7,11
1770,S01001764,11,29,10,5,26,77,13,9,7
1771,S01001769,75,23,60,11,21,66,24,9,11
1772,S01001752,28,16,33,7,73,132,35,6,10
1773,S01001767,50,11,26,6,28,70,23,9,12
1774,S01001779,82,25,35,7,36,44,20,3,7
1775,S01001781,47,15,31,10,47,71,18,3,12
1776,S01001782,93,14,37,14,62,97,30,7,15
1777,S01001736,51,17,61,6,65,115,38,7,10
1778,S01001738,18,9,27,4,35,75,23,8,10
1779,S01001746,61,11,52,7,61,109,39,8,9
1780,S01001754,27,8,28,7,43,110,25,8,8
1781,S01001762,195,24,60,9,39,87,30,4,14
1782,S01001772,79,41,36,8,26,38,7,6,15
1783,S01001774,37,37,18,7,53,82,12,15,0
1784,S01001780,71,75,37,7,59,78,22,26,7
1785,S01001784,87,24,24,11,31,56,13,8,10
1786,S01001768,23,42,21,15,46,58,21,11,14
1787,S01001755,41,35,40,18,53,99,23,11,16
1788,S01001766,28,17,21,9,37,85,17,17,12
1789,S01001771,47,46,33,21,47,90,26,28,17
1790,S01001773,82,59,20,12,53,88,36,34,22
1791,S01001791,27,30,16,7,61,90,33,14,4
1792,S01001790,49,29,21,10,70,87,25,10,10
1793,S01001793,61,50,29,8,54,102,19,12,13
1794,S01001792,45,27,25,11,36,87,28,15,11
1795,S01001794,61,36,41,10,67,91,30,16,17
1796,S01001801,23,20,35,4,67,118,32,10,12
1797,S01001796,33,6,61,5,99,73,28,2,10
1798,S01001844,51,23,53,16,97,110,45,10,19
1799,S01001795,17,53,16,2,38,76,12,6,11
1800,S01001805,42,32,42,17,54,69,33,21,11
1801,S01001800,12,32,16,14,73,144,26,14,12
1802,S01001797,82,29,41,20,44,50,25,16,13
1803,S01001807,59,18,76,7,59,77,39,9,6
1804,S01001806,32,19,40,8,59,60,20,6,13
1805,S01001815,52,26,49,6,60,99,37,13,7
1806,S01001840,27,14,50,8,65,75,27,9,9
1807,S01001863,24,34,21,6,92,98,55,6,10
1808,S01001862,20,16,24,11,79,106,48,9,12
1809,S01001852,18,19,30,8,84,85,39,7,10
1810,S01001836,39,18,33,6,58,76,28,10,12
1811,S01001829,103,49,37,4,63,57,8,16,16
1812,S01001816,48,40,46,9,90,138,22,13,7
1813,S01001819,53,30,57,7,85,121,29,7,16
1814,S01001833,41,41,36,11,91,114,23,17,16
1815,S01001849,31,22,36,10,45,63,24,1,11
1816,S01001835,25,44,15,9,50,83,17,3,10
1817,S01001854,163,29,38,5,57,111,12,12,21
1818,S01001860,53,20,49,11,56,99,20,6,12
1819,S01001866,48,17,34,8,67,74,22,5,12
1820,S01001881,40,15,35,5,81,64,22,2,11
1821,S01001864,23,92,10,21,37,74,18,46,34
1822,S01001865,17,73,4,9,19,46,8,65,29
1823,S01001874,19,79,5,11,22,59,14,53,20
1824,S01001877,28,74,4,10,40,74,20,84,34
1825,S01001893,57,116,27,21,52,52,38,52,27
1826,S01001892,26,180,12,16,60,37,16,58,20
1827,S01001898,123,94,15,17,43,26,15,31,15
1828,S01001890,44,93,20,18,60,92,35,23,13
1829,S01001880,29,102,11,16,37,32,24,66,25
1830,S01001894,29,108,1,15,22,52,9,71,19
1831,S01001897,38,111,6,10,50,54,19,93,29
1832,S01001886,57,145,11,16,24,24,11,30,24
1833,S01001909,54,100,15,13,39,48,9,44,14
1834,S01001919,54,74,41,10,88,81,29,17,17
1835,S01001912,40,67,35,12,62,65,21,39,15
1836,S01001910,34,49,17,9,52,85,23,22,22
1837,S01001899,34,43,21,8,77,77,33,12,18
1838,S01001926,50,79,15,13,45,51,27,39,33
1839,S01001923,30,122,13,18,32,50,18,52,35
1840,S01001931,45,47,14,13,31,54,22,38,31
1841,S01001946,23,59,9,23,17,64,23,67,32
1842,S01001943,37,42,18,12,38,50,18,26,23
1843,S01001949,62,51,12,19,42,52,17,35,25
1844,S01001971,130,96,35,20,48,33,14,35,26
1845,S01001955,92,46,39,15,54,56,22,28,20
1846,S01002021,159,97,54,29,72,50,18,35,24
1847,S01002005,135,89,37,14,70,37,17,38,22
1848,S01001977,125,62,42,15,55,30,17,31,28
1849,S01001965,114,62,49,19,55,39,23,42,27
1850,S01001932,37,37,29,24,70,67,43,37,26
1851,S01001921,80,24,34,18,47,39,14,14,31
1852,S01001904,97,56,28,10,49,45,11,15,20
1853,S01001900,53,33,42,22,53,66,43,19,16
1854,S01001913,30,45,24,4,81,113,35,23,18
1855,S01001937,83,67,46,13,71,64,37,25,18
1856,S01001934,123,79,28,19,66,44,12,24,32
1857,S01001969,54,67,22,21,40,42,24,26,21
1858,S01001950,84,171,27,21,88,45,26,17,33
1859,S01001963,58,133,31,12,59,34,16,30,44
1860,S01001984,17,132,3,4,30,27,5,40,31
1861,S01001997,71,105,33,12,63,37,17,14,35
1862,S01002031,57,172,23,15,69,21,4,20,28
1863,S01002036,44,314,4,10,101,20,1,13,57
1864,S01002007,46,381,3,4,122,22,3,9,64
1865,S01002001,36,353,8,3,93,21,2,8,28
1866,S01002033,49,262,5,9,75,20,3,16,61
1867,S01002052,34,231,7,7,94,12,4,17,69
1868,S01002064,19,217,3,7,78,34,3,41,78
1869,S01001986,16,164,3,7,105,11,4,8,59
1870,S01001980,22,116,12,9,85,35,10,14,50
1871,S01001961,37,149,20,4,91,82,17,17,44
1872,S01001972,32,83,14,3,75,82,8,17,25
1873,S01001968,115,93,39,7,75,34,13,13,41
1874,S01001994,34,120,11,8,74,45,9,21,78
1875,S01001933,79,43,38,8,78,94,21,10,23
1876,S01001947,97,72,42,7,67,57,15,6,26
1877,S01001929,82,37,43,10,62,70,22,6,12
