,GEO_CODE,One person household\ Aged 65 and over,One person household\ Aged 0 to 64,One family only\ All aged 65 and over,One family only\ Lone parent\ All children non-dependent,One family only\ Couple family\ No children,One family only\ Couple family\ With dependent children,One family only\ Couple family\ All children non-dependent,One family only\ Lone parent\ With dependent children,Other household types\ Other (including all full-time students and all aged 65 and over)
197,S01000181,12,37,15,13,28,42,24,44,21
198,S01000168,61,36,39,26,54,73,50,31,17
199,S01000187,27,15,24,9,31,57,28,31,24
200,S01000182,40,28,29,18,62,66,39,29,23
201,S01000190,54,40,35,19,56,69,41,25,24
202,S01000197,29,20,16,15,45,43,25,24,18
203,S01000193,28,38,24,10,38,69,28,25,28
204,S01000178,41,34,19,27,42,67,30,32,16
205,S01000180,34,34,34,15,43,54,26,25,10
206,S01000196,17,27,6,16,38,71,23,89,30
207,S01000209,27,92,7,9,39,73,15,98,29
208,S01000208,61,68,15,16,32,62,17,43,28
209,S01000212,34,43,42,9,46,71,18,51,17
210,S01000198,68,55,23,15,32,40,30,44,27
211,S01000206,25,33,19,9,45,79,23,21,16
212,S01000204,16,35,10,20,57,43,28,30,11
213,S01000215,15,29,11,3,65,63,25,8,16
214,S01000237,42,23,58,8,99,68,51,9,17
215,S01000224,55,26,46,16,53,54,36,15,10
216,S01000174,4,16,7,3,71,150,14,10,11
217,S01000159,20,31,9,2,85,152,14,19,12
218,S01000143,20,20,38,0,56,81,19,3,4
219,S01000171,0,49,4,7,107,133,8,23,5
220,S01000123,30,25,26,5,50,85,19,3,9
221,S01000228,29,130,15,6,72,42,17,11,21
222,S01000223,15,65,16,9,62,46,15,6,13
223,S01000222,55,37,52,20,51,46,34,21,14
224,S01000218,86,24,50,12,59,40,35,16,14
225,S01000214,57,17,28,8,44,42,18,9,8
226,S01000244,92,98,53,14,102,72,45,20,10
227,S01000256,93,47,61,9,76,71,40,9,12
228,S01000229,103,52,43,17,57,41,40,25,17
229,S01000257,50,38,34,8,87,72,37,11,9
230,S01000266,51,40,36,17,73,88,46,22,19
231,S01000264,46,34,29,24,89,93,43,20,29
232,S01000267,39,29,25,14,73,38,44,12,15
233,S01000265,65,34,37,15,62,49,39,17,17
234,S01000262,58,48,41,18,86,77,49,12,16
235,S01000261,23,52,38,8,104,82,72,8,12
236,S01000227,10,34,19,2,69,87,19,10,4
237,S01000235,20,76,21,5,90,89,16,15,13
238,S01000231,8,69,11,3,81,101,21,5,10
239,S01000238,10,63,8,4,56,59,11,8,10
240,S01000234,18,70,33,5,74,80,31,7,10
241,S01000260,4,46,2,4,93,138,11,19,13
242,S01000263,44,72,16,4,89,104,16,5,16
243,S01000252,5,84,7,5,73,116,22,22,10
244,S01000255,1,79,6,3,59,79,13,11,8
245,S01000258,4,36,10,0,58,96,23,6,6
246,S01000246,39,21,27,7,45,88,36,11,10
247,S01000241,4,4,3,2,49,113,35,7,9
248,S01000245,43,43,27,9,82,92,44,13,16
249,S01000247,7,26,15,12,60,92,46,7,7
250,S01000251,1,6,2,2,29,83,16,6,5
251,S01000248,17,61,21,13,77,96,44,6,10
252,S01000250,6,22,12,6,56,109,39,18,7
253,S01000253,2,8,0,0,42,117,34,7,12
254,S01000230,38,67,27,9,52,56,23,22,12
255,S01000233,77,22,38,15,34,34,24,16,15
256,S01000243,7,18,8,5,69,84,54,4,8
257,S01000240,30,25,21,9,47,75,47,15,11
258,S01000232,83,23,31,12,34,49,27,17,20
259,S01000225,34,22,25,22,45,47,30,17,10
260,S01000239,31,20,43,8,72,76,29,12,3
261,S01000242,35,66,17,5,57,81,17,8,14
262,S01000236,34,23,44,8,78,44,30,24,10
263,S01000226,30,58,30,6,60,49,19,4,23
264,S01000259,4,24,6,4,63,90,20,5,4
265,S01000254,12,54,13,1,93,95,29,4,15
266,S01000249,28,30,25,9,77,67,40,7,9
267,S01000312,62,39,33,6,38,44,18,5,18
268,S01000303,29,44,37,7,80,44,19,6,12
269,S01000316,105,32,52,9,67,65,20,20,9
270,S01000360,42,27,24,6,51,38,12,11,15
271,S01000301,53,50,30,4,70,38,11,5,13
272,S01000331,51,40,32,13,47,52,15,12,13
273,S01000309,26,46,33,5,69,93,17,8,8
274,S01000332,46,26,43,6,67,75,17,7,6
275,S01000334,90,51,34,10,67,88,13,19,14
276,S01000344,29,39,42,7,67,101,36,9,10
277,S01000302,19,22,22,3,49,67,14,2,9
278,S01000299,52,21,38,5,79,102,20,11,16
279,S01000279,17,27,16,3,52,66,14,6,9
280,S01000281,50,51,31,8,56,69,10,12,10
281,S01000275,88,42,63,14,63,85,34,23,14
282,S01000272,50,35,36,6,74,99,30,27,11
283,S01000270,42,49,34,8,89,100,27,15,24
