,GEO_CODE,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km and over,Work or study mainly at or from home,Other (including no fixed place of work; working on an offshore installation and working outside the UK)
62,S01000063,232,223,87,16,16,47,41
63,S01000064,225,94,43,22,10,10,31
64,S01000065,265,244,79,26,16,26,50
65,S01000066,259,141,43,20,11,18,50
66,S01000067,138,251,72,7,21,25,28
67,S01000068,266,135,42,22,17,32,54
68,S01000069,223,86,36,6,8,21,27
69,S01000070,224,118,20,7,21,14,16
70,S01000071,192,110,34,17,8,24,29
71,S01000072,128,173,107,3,12,39,34
72,S01000073,126,177,45,3,7,19,25
73,S01000074,231,137,29,7,5,18,32
74,S01000075,135,117,42,23,12,14,32
75,S01000076,126,212,90,4,11,25,23
76,S01000077,269,215,77,7,24,51,50
77,S01000078,294,147,63,31,15,17,45
78,S01000079,295,212,67,39,32,35,66
79,S01000080,288,205,93,14,24,30,57
80,S01000081,263,194,73,7,25,33,32
81,S01000082,263,163,44,24,19,21,52
82,S01000083,270,144,76,7,18,22,42
83,S01000084,234,165,52,25,8,14,60
84,S01000085,191,156,78,5,22,16,43
85,S01000086,268,123,66,21,10,28,52
86,S01000087,184,241,67,3,19,42,42
87,S01000088,226,145,71,16,13,16,42
88,S01000089,157,253,95,10,21,35,25
89,S01000090,292,172,83,2,24,25,53
90,S01000091,353,183,93,12,25,28,59
91,S01000092,297,190,102,8,29,30,62
92,S01000093,218,103,31,20,17,29,45
93,S01000094,207,135,82,11,11,16,27
94,S01000095,289,126,70,3,17,13,39
95,S01000096,105,146,57,4,5,8,27
96,S01000097,316,182,86,5,30,63,41
97,S01000098,303,226,81,22,19,47,66
98,S01000099,111,202,68,3,18,22,36
99,S01000100,242,196,83,14,22,28,46
100,S01000101,341,125,89,4,22,53,35
101,S01000102,246,100,48,7,13,24,51
102,S01000103,249,120,51,12,9,17,45
103,S01000104,222,165,71,2,22,43,13
104,S01000105,161,277,110,12,12,24,54
105,S01000106,289,113,49,0,25,35,26
106,S01000107,307,223,71,16,21,34,68
107,S01000108,181,142,51,19,14,20,44
108,S01000109,320,164,53,9,22,28,54
109,S01000110,118,181,76,1,8,22,23
110,S01000111,306,117,74,3,13,27,34
111,S01000112,361,149,50,15,13,51,44
112,S01000113,245,71,39,4,9,23,24
113,S01000114,158,151,81,3,14,28,38
114,S01000115,187,180,68,4,10,25,44
115,S01000116,409,167,77,9,14,19,61
116,S01000117,381,165,62,2,29,29,44
117,S01000118,151,153,54,2,10,18,35
