,GEO_CODE,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km and over,Work or study mainly at or from home,Other (including no fixed place of work; working on an offshore installation and working outside the UK)
1546,S01001547,165,75,109,115,27,23,44
1547,S01001548,69,67,87,212,35,29,33
1548,S01001549,125,31,142,166,28,31,42
1549,S01001550,66,27,96,86,107,49,35
1550,S01001551,87,57,89,67,153,65,41
1551,S01001552,100,83,102,169,78,37,37
1552,S01001553,73,41,91,31,186,73,49
1553,S01001554,109,40,144,185,138,35,39
1554,S01001555,104,144,65,88,25,20,40
1555,S01001556,116,97,79,254,47,20,58
1556,S01001557,139,28,144,147,226,69,38
1557,S01001558,103,81,68,187,31,22,53
1558,S01001559,51,61,61,104,13,9,34
1559,S01001560,82,119,76,81,19,27,30
1560,S01001561,111,93,75,131,21,20,36
1561,S01001562,139,34,54,134,27,25,41
1562,S01001563,139,33,144,72,22,18,30
1563,S01001564,125,46,120,44,10,17,25
1564,S01001565,156,32,131,44,22,13,37
1565,S01001566,145,38,187,67,19,11,39
1566,S01001567,223,35,66,288,81,19,52
1567,S01001568,129,16,157,105,29,37,33
1568,S01001569,111,22,43,173,35,13,29
1569,S01001570,138,40,141,40,23,18,27
1570,S01001571,111,124,49,113,9,22,36
1571,S01001572,151,28,153,59,23,11,22
1572,S01001573,92,46,58,85,140,50,25
1573,S01001574,262,38,107,87,13,16,50
1574,S01001575,164,43,181,77,20,16,45
1575,S01001576,100,33,46,100,20,8,29
1576,S01001577,194,35,53,182,48,8,45
1577,S01001578,91,76,84,111,45,11,26
1578,S01001579,100,101,82,147,29,27,33
1579,S01001580,121,24,107,61,19,15,27
1580,S01001581,172,51,180,75,21,10,42
1581,S01001582,76,97,63,96,14,18,25
1582,S01001583,140,30,48,55,17,17,20
1583,S01001584,153,45,120,44,22,12,37
1584,S01001585,167,27,154,85,15,27,37
1585,S01001586,133,33,156,51,21,9,21
1586,S01001587,139,33,55,134,31,20,48
1587,S01001588,168,71,78,122,25,17,34
1588,S01001589,168,38,69,143,24,6,37
1589,S01001590,178,37,168,77,18,14,37
1590,S01001591,101,28,52,113,20,12,29
1591,S01001592,119,91,73,126,10,26,40
1592,S01001593,312,40,120,89,17,34,32
1593,S01001594,123,31,187,69,26,22,34
1594,S01001595,154,27,50,97,31,23,34
1595,S01001596,183,30,101,112,18,31,37
1596,S01001597,135,34,131,70,23,78,25
1597,S01001598,128,36,155,57,21,17,26
1598,S01001599,124,52,218,76,27,15,47
1599,S01001600,184,34,190,95,27,25,44
1600,S01001601,57,92,47,37,195,61,28
1601,S01001602,115,16,48,148,41,24,40
1602,S01001603,168,27,57,219,48,13,55
1603,S01001604,190,32,53,94,33,40,39
1604,S01001605,93,52,59,90,42,21,33
1605,S01001606,107,19,89,47,12,37,28
1606,S01001607,164,69,92,261,43,44,50
1607,S01001608,288,2,41,73,207,29,28
1608,S01001609,323,31,41,49,123,31,43
1609,S01001610,129,5,34,37,109,32,25
1610,S01001611,73,90,36,66,183,70,37
1611,S01001612,261,7,42,64,178,31,29
1612,S01001613,203,72,60,108,22,39,42
1613,S01001614,126,6,12,40,73,21,31
1614,S01001615,232,10,25,39,137,19,54
1615,S01001616,164,2,22,40,172,23,24
1616,S01001617,133,51,53,112,21,14,47
1617,S01001618,105,30,142,46,192,51,51
1618,S01001619,141,45,58,134,19,29,36
1619,S01001620,109,17,41,126,21,26,37
1620,S01001621,210,22,52,112,36,15,42
1621,S01001622,297,10,40,52,116,20,51
1622,S01001623,204,6,37,47,117,18,40
1623,S01001624,308,13,44,55,166,25,48
1624,S01001625,140,61,53,131,22,20,25
1625,S01001626,282,3,26,52,141,21,43
1626,S01001627,154,15,65,125,24,12,38
1627,S01001628,150,16,44,96,27,19,36
1628,S01001629,126,17,57,170,23,7,30
1629,S01001630,114,20,51,100,21,11,34
1630,S01001631,204,24,59,199,47,25,35
1631,S01001632,122,17,38,220,58,12,38
1632,S01001633,105,83,50,214,130,39,37
1633,S01001634,166,46,49,286,59,22,31
1634,S01001635,103,62,32,174,46,38,40
1635,S01001636,95,72,31,152,48,11,38
1636,S01001637,99,51,70,174,67,22,31
1637,S01001638,145,34,47,203,64,21,56
1638,S01001639,75,41,37,121,40,12,31
1639,S01001640,74,68,40,180,70,19,18
1640,S01001641,105,74,21,52,87,21,26
1641,S01001642,106,27,70,157,91,41,48
1642,S01001643,109,7,132,46,131,24,34
1643,S01001644,225,26,46,48,122,21,34
1644,S01001645,214,16,47,43,174,33,38
1645,S01001646,47,61,74,22,128,55,25
1646,S01001647,194,19,41,46,83,12,26
1647,S01001648,251,28,25,50,90,18,31
1648,S01001649,204,7,27,54,86,21,27
1649,S01001650,355,13,27,54,121,57,23
1650,S01001651,233,12,33,54,170,32,43
1651,S01001652,78,31,123,50,210,65,29
1652,S01001653,182,9,27,47,103,26,26
1653,S01001654,69,31,59,46,117,29,26
1654,S01001655,76,18,45,57,137,32,22
1655,S01001656,130,18,133,28,160,35,50
1656,S01001657,53,51,51,30,119,40,24
1657,S01001658,248,56,39,50,143,54,44
1658,S01001659,79,9,57,26,133,31,24
1659,S01001660,56,7,72,31,131,31,16
1660,S01001661,80,85,40,21,113,48,19
1661,S01001662,249,20,22,26,83,33,40
1662,S01001663,228,12,19,36,197,37,34
1663,S01001664,143,14,20,27,143,25,23
1664,S01001665,147,1,10,27,123,32,24
1665,S01001666,169,8,8,18,128,27,13
1666,S01001667,165,11,14,30,136,40,25
1667,S01001668,135,31,9,30,144,54,23
1668,S01001669,181,10,16,27,110,33,41
1669,S01001670,84,69,84,137,19,50,32
1670,S01001671,40,132,47,128,23,22,39
1671,S01001672,73,38,63,100,23,26,33
1672,S01001673,82,71,86,165,23,24,40
1673,S01001674,73,60,79,130,27,16,34
1674,S01001675,66,77,67,184,32,20,28
1675,S01001676,85,80,84,202,28,55,35
1676,S01001677,18,188,112,167,42,38,33
1677,S01001678,116,77,186,230,52,56,52
1678,S01001679,67,53,70,185,36,28,18
1679,S01001680,80,26,67,136,21,28,26
1680,S01001681,77,36,104,159,28,24,20
1681,S01001682,99,66,150,179,34,18,24
1682,S01001683,116,40,96,143,33,40,35
1683,S01001684,75,16,76,202,49,49,21
1684,S01001685,147,43,46,97,17,30,25
1685,S01001686,134,74,128,195,41,47,24
1686,S01001687,110,52,104,174,29,38,36
1687,S01001688,138,53,117,198,44,28,42
1688,S01001689,87,56,151,103,16,48,30
1689,S01001690,91,32,50,110,29,16,17
1690,S01001691,122,46,138,173,63,51,20
1691,S01001692,130,38,68,138,22,17,20
1692,S01001693,66,119,95,209,55,33,28
1693,S01001694,72,69,162,68,19,14,31
1694,S01001695,75,75,140,138,35,40,33
1695,S01001696,129,65,123,137,25,41,42
1696,S01001697,158,66,95,168,46,48,26
1697,S01001698,74,70,115,55,8,19,21
1698,S01001699,66,77,85,188,34,46,14
1699,S01001700,136,62,185,173,37,46,32
1700,S01001701,124,77,150,60,20,26,31
1701,S01001702,106,39,148,115,40,39,29
1702,S01001703,129,98,102,156,36,36,32
1703,S01001704,65,69,265,117,45,64,31
1704,S01001705,93,82,89,138,37,22,26
1705,S01001706,179,61,167,69,33,23,38
1706,S01001707,124,82,150,48,14,15,34
1707,S01001708,130,72,145,129,29,37,27
1708,S01001709,88,88,89,142,33,20,26
1709,S01001710,78,78,159,74,22,21,25
1710,S01001711,160,53,217,68,29,28,21
1711,S01001712,55,45,88,119,24,19,38
1712,S01001713,225,74,159,173,40,51,34
1713,S01001714,136,78,157,66,24,25,21
1714,S01001715,197,84,164,206,35,43,52
1715,S01001716,93,77,157,110,31,21,33
1716,S01001717,140,58,196,69,30,22,37
1717,S01001718,104,55,127,45,19,16,23
1718,S01001719,176,70,197,67,23,28,37
1719,S01001720,70,106,102,137,43,33,27
1720,S01001721,74,50,139,52,23,25,18
1721,S01001722,135,62,208,54,23,22,24
1722,S01001723,49,41,262,37,32,59,16
1723,S01001724,86,78,113,79,33,28,24
1724,S01001725,96,61,128,82,31,13,35
1725,S01001726,161,49,168,50,20,23,18
1726,S01001727,210,67,246,66,28,29,31
1727,S01001728,120,69,182,44,25,29,26
1728,S01001729,184,105,231,69,27,28,43
1729,S01001730,109,55,158,51,19,23,22
1730,S01001731,109,76,145,44,28,28,11
1731,S01001732,110,42,104,89,37,23,34
1732,S01001733,99,39,133,104,24,25,32
1733,S01001734,105,36,124,30,22,14,20
1734,S01001735,112,40,124,38,19,10,22
1735,S01001736,107,122,296,46,30,55,19
1736,S01001737,93,84,161,51,21,20,24
1737,S01001738,117,62,151,39,18,32,27
1738,S01001739,101,92,164,46,18,24,39
1739,S01001740,110,74,127,146,33,30,38
1740,S01001741,130,63,66,73,26,20,30
1741,S01001742,142,64,78,60,22,26,25
1742,S01001743,170,55,140,73,31,29,32
1743,S01001744,177,38,113,93,30,23,31
1744,S01001745,168,123,187,64,19,28,51
1745,S01001746,161,96,221,51,32,35,38
1746,S01001747,164,56,116,65,37,19,33
1747,S01001748,90,73,144,39,23,20,34
1748,S01001749,107,34,98,82,33,13,28
1749,S01001750,130,33,107,85,32,25,34
1750,S01001751,150,82,127,114,36,19,36
1751,S01001752,199,112,311,50,24,30,31
1752,S01001753,191,52,95,55,52,35,26
1753,S01001754,161,90,224,34,31,42,23
1754,S01001755,215,78,207,20,25,48,34
1755,S01001756,64,57,94,19,14,20,20
1756,S01001757,121,82,104,124,44,34,33
1757,S01001758,105,58,173,36,21,31,17
1758,S01001759,110,48,68,68,31,11,34
1759,S01001760,152,50,96,61,38,19,32
1760,S01001761,111,40,68,67,24,19,20
1761,S01001762,134,67,199,30,33,59,28
1762,S01001763,177,92,205,56,26,27,25
1763,S01001764,136,45,145,34,15,16,16
1764,S01001765,155,63,164,120,56,8,41
1765,S01001766,177,71,153,24,19,32,26
1766,S01001767,121,61,161,27,18,23,29
1767,S01001768,115,63,169,20,19,20,31
1768,S01001769,138,69,130,26,15,29,25
1769,S01001770,124,42,61,52,18,17,22
1770,S01001771,186,112,204,22,25,29,42
1771,S01001772,70,38,90,14,19,19,15
1772,S01001773,211,107,185,31,17,21,39
1773,S01001774,129,61,156,34,23,18,39
1774,S01001775,116,86,170,31,25,24,24
1775,S01001776,118,64,68,79,26,9,25
1776,S01001777,171,110,244,66,32,41,20
1777,S01001778,157,81,103,52,45,26,36
1778,S01001779,66,56,107,18,8,22,26
1779,S01001780,156,84,176,24,23,27,35
1780,S01001781,139,78,137,30,22,28,20
1781,S01001782,194,87,200,24,22,25,40
1782,S01001783,99,60,67,19,58,15,27
1783,S01001784,93,68,112,15,8,32,20
1784,S01001785,168,91,100,86,43,15,23
1785,S01001786,90,79,98,79,32,10,24
1786,S01001787,100,89,91,71,44,18,27
1787,S01001788,155,171,126,116,41,19,49
1788,S01001789,104,87,114,50,39,17,36
1789,S01001790,140,35,118,194,18,32,28
1790,S01001791,160,47,99,183,24,28,29
1791,S01001792,174,34,111,158,12,29,27
1792,S01001793,196,27,125,183,18,29,26
1793,S01001794,190,42,131,177,30,32,28
1794,S01001795,168,83,185,19,29,112,33
1795,S01001796,148,53,115,110,29,40,16
1796,S01001797,131,56,86,78,13,19,34
1797,S01001798,76,196,279,13,38,35,32
1798,S01001799,278,61,190,13,4,41,38
1799,S01001800,258,102,165,158,45,30,40
1800,S01001801,141,75,135,208,27,59,29
1801,S01001802,97,81,292,86,45,24,35
1802,S01001803,84,107,381,72,51,44,47
1803,S01001804,130,101,337,73,45,47,56
1804,S01001805,170,86,133,72,15,20,41
1805,S01001806,107,77,145,50,18,30,15
1806,S01001807,137,84,145,44,21,29,31
1807,S01001808,110,76,152,12,13,26,37
1808,S01001809,155,62,130,6,6,20,24
1809,S01001810,114,144,319,16,38,25,50
1810,S01001811,57,134,198,15,24,24,21
1811,S01001812,43,144,115,6,27,23,14
1812,S01001813,88,156,197,20,12,21,37
1813,S01001814,194,112,203,21,15,19,41
1814,S01001815,176,100,177,67,24,17,33
1815,S01001816,108,185,316,47,45,43,31
1816,S01001817,123,71,134,15,13,15,33
1817,S01001818,70,157,164,12,34,20,21
1818,S01001819,130,182,246,26,38,57,32
1819,S01001820,149,82,147,13,6,22,31
1820,S01001821,222,30,53,2,10,18,25
1821,S01001822,85,175,341,16,21,38,37
1822,S01001823,150,83,163,12,12,34,44
1823,S01001824,120,125,125,16,30,26,23
1824,S01001825,109,183,254,8,29,30,28
1825,S01001826,153,79,130,23,9,29,29
1826,S01001827,203,91,208,47,20,67,49
1827,S01001828,135,244,196,15,31,34,28
1828,S01001829,69,120,153,30,16,31,26
1829,S01001830,134,300,186,7,36,26,27
1830,S01001831,147,130,107,9,10,14,38
1831,S01001832,130,62,140,12,7,13,42
1832,S01001833,97,194,255,39,39,42,32
1833,S01001834,83,39,130,34,14,7,27
1834,S01001835,138,94,166,14,19,26,37
1835,S01001836,80,159,150,33,24,35,23
1836,S01001837,103,261,170,22,39,47,24
1837,S01001838,95,65,125,17,15,16,32
1838,S01001839,184,75,149,15,21,30,43
1839,S01001840,131,74,184,37,21,20,18
1840,S01001841,153,129,175,15,14,23,29
1841,S01001842,107,128,240,40,32,31,27
1842,S01001843,139,114,101,12,10,19,36
1843,S01001844,1363,131,246,95,42,331,106
1844,S01001845,135,276,147,17,41,34,32
1845,S01001846,140,282,161,18,19,47,39
1846,S01001847,113,74,149,34,11,16,28
1847,S01001848,147,136,92,11,12,18,38
1848,S01001849,59,112,139,21,25,22,18
1849,S01001850,141,174,147,19,15,12,54
1850,S01001851,78,107,241,45,32,35,34
1851,S01001852,112,204,181,36,23,21,39
1852,S01001853,105,207,116,12,30,20,31
1853,S01001854,489,93,135,10,24,60,42
1854,S01001855,70,144,195,27,30,25,29
1855,S01001856,107,104,76,7,4,8,15
1856,S01001857,144,107,161,24,10,32,36
1857,S01001858,111,141,158,12,29,34,28
1858,S01001859,199,120,194,30,8,25,51
1859,S01001860,322,138,174,21,22,92,26
1860,S01001861,175,178,112,14,10,27,40
1861,S01001862,149,219,209,53,15,20,58
1862,S01001863,164,162,251,49,25,33,36
1863,S01001864,155,155,143,26,15,30,36
1864,S01001865,194,102,76,12,8,21,17
1865,S01001866,61,156,156,26,20,40,21
1866,S01001867,118,63,78,18,13,17,41
1867,S01001868,89,161,103,9,21,36,25
1868,S01001869,140,163,201,20,32,33,35
1869,S01001870,148,79,95,17,5,30,31
1870,S01001871,175,152,118,19,11,19,40
1871,S01001872,118,103,140,29,17,31,47
1872,S01001873,86,199,126,8,34,28,22
1873,S01001874,184,108,82,11,5,29,25
1874,S01001875,145,243,120,10,28,31,23
1875,S01001876,178,210,117,7,26,31,68
1876,S01001877,306,100,157,31,10,33,34
1877,S01001878,163,285,92,12,54,49,28
1878,S01001879,89,62,72,15,4,38,32
1879,S01001880,188,106,105,12,6,35,28
1880,S01001881,95,134,103,15,22,23,42
1881,S01001882,124,127,195,38,17,32,37
1882,S01001883,82,171,59,15,27,31,23
1883,S01001884,178,164,106,8,13,19,44
1884,S01001885,110,288,117,36,32,33,27
1885,S01001886,125,68,69,12,3,14,31
1886,S01001887,140,138,110,142,25,37,39
1887,S01001888,130,301,75,23,26,43,26
1888,S01001889,102,145,106,5,9,32,17
1889,S01001890,272,119,177,25,12,28,45
1890,S01001891,136,103,60,5,8,16,29
1891,S01001892,189,62,106,20,4,12,43
1892,S01001893,240,85,141,26,7,20,34
1893,S01001894,222,105,95,12,8,13,24
1894,S01001895,132,168,105,9,7,13,26
1895,S01001896,165,240,86,16,31,34,19
1896,S01001897,244,129,100,15,5,25,29
1897,S01001898,137,65,97,17,10,23,23
1898,S01001899,215,124,148,34,21,19,41
1899,S01001900,153,165,107,19,13,28,47
1900,S01001901,177,254,53,20,38,30,20
1901,S01001902,164,258,94,18,47,40,32
1902,S01001903,105,127,82,12,9,15,34
1903,S01001904,111,104,76,18,12,16,33
1904,S01001905,200,265,79,21,48,31,33
1905,S01001906,115,95,78,24,15,21,30
1906,S01001907,149,142,81,7,9,14,40
1907,S01001908,208,238,79,6,19,67,40
1908,S01001909,148,63,105,17,7,16,28
1909,S01001910,232,105,131,25,10,11,41
1910,S01001911,203,206,75,21,20,29,30
1911,S01001912,227,146,116,21,10,14,30
1912,S01001913,251,255,95,22,17,39,53
1913,S01001914,123,154,31,11,19,39,11
1914,S01001915,168,238,63,25,18,22,31
1915,S01001916,136,243,99,23,44,26,27
1916,S01001917,161,149,55,8,30,36,22
1917,S01001918,133,272,105,23,36,22,47
1918,S01001919,199,191,168,18,10,21,36
1919,S01001920,100,160,49,15,7,13,23
1920,S01001921,88,117,53,9,7,13,28
1921,S01001922,100,125,134,177,31,23,30
1922,S01001923,174,102,92,23,4,23,29
1923,S01001924,188,156,67,7,27,31,25
1924,S01001925,108,252,82,10,26,68,21
1925,S01001926,210,95,100,21,6,22,25
1926,S01001927,181,181,57,9,33,35,29
1927,S01001928,138,250,89,16,29,37,31
1928,S01001929,126,220,54,16,27,26,25
1929,S01001930,130,278,86,13,41,22,33
1930,S01001931,215,69,83,22,2,31,30
1931,S01001932,244,266,109,15,18,48,52
1932,S01001933,174,237,70,29,34,38,32
1933,S01001934,141,181,65,15,11,19,29
1934,S01001935,153,107,73,26,13,21,32
1935,S01001936,222,179,80,11,14,39,27
1936,S01001937,159,266,57,11,11,28,50
1937,S01001938,99,152,77,11,25,29,20
1938,S01001939,141,162,76,11,19,17,24
1939,S01001940,183,194,75,13,21,36,28
1940,S01001941,210,242,108,10,32,88,43
1941,S01001942,126,129,57,7,20,21,20
1942,S01001943,135,109,66,24,10,23,29
1943,S01001944,144,107,30,6,20,35,9
1944,S01001945,177,135,44,7,31,31,16
1945,S01001946,271,99,100,13,4,33,27
1946,S01001947,161,173,34,21,29,45,17
1947,S01001948,145,87,122,37,9,31,26
1948,S01001949,152,149,69,13,5,20,34
1949,S01001950,130,288,80,24,16,22,44
1950,S01001951,102,172,66,14,12,16,35
1951,S01001952,249,181,49,11,14,45,28
1952,S01001953,223,208,55,11,23,44,22
1953,S01001954,131,52,91,18,14,20,18
1954,S01001955,147,174,63,7,8,12,31
1955,S01001956,199,118,79,26,16,32,32
1956,S01001957,136,138,71,20,11,20,29
1957,S01001958,137,219,49,8,11,24,30
1958,S01001959,114,46,84,95,13,27,24
1959,S01001960,215,269,68,16,27,59,33
1960,S01001961,203,284,110,32,54,35,29
1961,S01001962,162,110,179,45,20,29,53
1962,S01001963,130,239,59,19,24,20,31
1963,S01001964,276,77,195,38,26,11,42
1964,S01001965,163,169,35,9,5,11,29
1965,S01001966,149,173,47,11,5,31,20
1966,S01001967,208,133,124,38,13,9,22
1967,S01001968,121,186,58,25,29,39,29
1968,S01001969,145,173,39,11,12,8,33
1969,S01001970,138,109,26,4,14,39,13
1970,S01001971,122,139,51,8,10,17,34
1971,S01001972,160,237,78,29,26,31,31
1972,S01001973,220,117,115,27,7,18,32
1973,S01001974,243,197,81,14,32,31,20
1974,S01001975,292,117,35,3,20,34,30
1975,S01001976,215,178,61,6,23,33,30
1976,S01001977,135,157,42,10,10,15,32
1977,S01001978,185,94,100,18,11,30,25
1978,S01001979,197,121,44,10,43,31,23
1979,S01001980,129,237,84,24,36,36,22
1980,S01001981,250,195,57,13,29,62,48
1981,S01001982,98,84,44,11,9,17,13
1982,S01001983,283,151,74,10,25,31,35
1983,S01001984,106,175,37,10,17,13,26
1984,S01001985,211,143,93,24,8,23,45
1985,S01001986,86,264,98,33,38,13,31
1986,S01001987,412,131,46,10,33,37,41
1987,S01001988,209,132,125,27,12,19,38
1988,S01001989,133,249,73,17,21,22,34
1989,S01001990,399,195,62,18,35,55,43
1990,S01001991,226,177,118,22,8,27,41
1991,S01001992,230,204,57,7,17,86,25
1992,S01001993,268,160,66,16,22,34,15
1993,S01001994,249,264,69,32,37,30,45
1994,S01001995,261,66,155,33,21,12,35
1995,S01001996,361,237,98,18,32,26,25
1996,S01001997,141,231,65,14,18,11,31
1997,S01001998,179,188,78,22,21,22,35
1998,S01001999,380,116,71,4,16,34,38
1999,S01002000,163,87,159,38,13,18,46
2000,S01002001,148,308,77,14,24,17,29
2001,S01002002,446,66,73,4,12,26,41
2002,S01002003,90,105,229,57,29,33,35
2003,S01002004,201,199,104,21,35,18,38
2004,S01002005,118,170,53,9,5,15,37
2005,S01002006,172,149,244,60,32,34,59
2006,S01002007,146,398,106,27,47,15,51
2007,S01002008,321,198,92,18,46,25,37
2008,S01002009,354,130,54,19,18,26,33
2009,S01002010,257,91,37,5,20,13,20
2010,S01002011,351,108,262,53,41,27,48
2011,S01002012,241,189,87,21,35,31,28
2012,S01002013,339,95,57,9,26,49,21
2013,S01002014,345,161,60,3,21,25,34
2014,S01002015,278,113,157,26,11,25,33
2015,S01002016,140,162,67,16,45,18,24
2016,S01002017,238,106,92,28,8,32,33
2017,S01002018,221,82,142,27,17,17,31
2018,S01002019,343,180,50,10,21,38,53
2019,S01002020,309,72,24,2,12,18,36
2020,S01002021,144,180,68,12,8,19,35
2021,S01002022,117,52,137,161,13,40,32
2022,S01002023,296,155,83,16,37,33,44
2023,S01002024,292,167,66,19,22,25,36
2024,S01002025,227,237,102,17,28,28,39
2025,S01002026,149,127,89,27,11,21,30
2026,S01002027,548,138,80,10,29,58,57
2027,S01002028,1904,121,80,2,31,151,269
2028,S01002029,355,150,47,7,28,47,35
2029,S01002030,239,181,107,28,26,29,36
2030,S01002031,84,239,61,11,12,19,28
2031,S01002032,275,181,55,11,30,42,21
2032,S01002033,153,200,85,21,25,29,49
2033,S01002034,489,131,79,16,33,42,40
2034,S01002035,179,184,80,22,22,22,46
2035,S01002036,151,282,121,15,39,18,33
2036,S01002037,289,156,52,4,30,27,34
2037,S01002038,368,130,60,7,25,38,30
2038,S01002039,112,174,55,14,10,22,22
2039,S01002040,144,128,62,8,20,11,20
2040,S01002041,371,169,77,13,35,58,39
2041,S01002042,137,117,107,31,13,24,26
2042,S01002043,145,217,44,15,22,16,26
2043,S01002044,176,70,83,27,9,21,28
2044,S01002045,161,88,140,29,35,28,25
2045,S01002046,169,123,55,12,21,12,39
2046,S01002047,263,103,40,10,22,41,25
2047,S01002048,409,176,70,8,19,32,49
2048,S01002049,450,244,73,12,21,51,50
2049,S01002050,96,109,90,37,21,28,21
2050,S01002051,165,73,137,23,5,18,44
2051,S01002052,191,218,96,21,32,20,21
2052,S01002053,328,158,92,8,17,38,20
2053,S01002054,277,193,52,6,29,41,37
2054,S01002055,155,92,263,88,32,33,40
2055,S01002056,151,247,51,13,18,17,34
2056,S01002057,138,190,101,40,31,47,29
2057,S01002058,233,122,60,16,23,16,18
2058,S01002059,206,163,65,16,31,19,23
2059,S01002060,321,158,52,7,13,22,42
2060,S01002061,268,109,65,14,23,27,29
2061,S01002062,117,75,109,24,11,18,17
2062,S01002063,333,218,134,11,28,52,48
2063,S01002064,271,196,106,25,41,31,29
2064,S01002065,313,120,66,15,33,29,44
2065,S01002066,280,107,55,3,12,45,34
2066,S01002067,154,102,143,27,14,27,24
2067,S01002068,277,213,100,23,39,24,41
2068,S01002069,108,170,33,11,24,16,13
2069,S01002070,222,161,49,10,18,25,29
2070,S01002071,257,127,72,8,18,33,32
2071,S01002072,188,360,53,18,31,34,41
2072,S01002073,172,102,70,21,15,28,32
2073,S01002074,147,113,71,27,12,15,25
2074,S01002075,177,257,66,29,66,17,37
2075,S01002076,311,99,106,19,21,31,52
2076,S01002077,159,88,183,36,22,27,32
2077,S01002078,143,123,209,70,22,43,35
2078,S01002079,250,122,69,20,22,30,27
2079,S01002080,184,162,174,50,35,32,34
2080,S01002081,236,125,65,17,23,28,35
2081,S01002082,197,207,72,33,47,29,24
2082,S01002083,58,32,93,13,2,14,24
2083,S01002084,176,103,84,9,17,14,24
2084,S01002085,321,167,110,8,14,21,53
2085,S01002086,206,99,49,5,24,35,22
2086,S01002087,341,171,85,11,18,37,45
2087,S01002088,161,51,220,45,16,29,30
2088,S01002089,190,193,162,37,25,22,26
2089,S01002090,80,106,284,63,22,23,47
2090,S01002091,329,125,89,11,32,24,41
2091,S01002092,154,225,96,20,33,31,22
2092,S01002093,296,91,92,12,20,32,39
2093,S01002094,132,189,54,37,12,16,28
2094,S01002095,59,161,34,14,18,31,19
2095,S01002096,181,108,174,37,25,18,22
2096,S01002097,146,141,86,29,16,23,34
2097,S01002098,91,158,61,19,14,29,16
2098,S01002099,253,198,62,27,44,54,43
2099,S01002100,123,103,91,33,9,17,31
2100,S01002101,255,123,67,13,25,30,37
2101,S01002102,118,149,50,16,10,19,27
2102,S01002103,187,112,149,20,23,17,33
2103,S01002104,355,180,67,11,17,62,67
2104,S01002105,253,280,31,29,50,63,28
2105,S01002106,411,129,87,10,27,99,50
2106,S01002107,128,129,44,27,8,15,32
2107,S01002108,512,201,59,10,24,75,58
2108,S01002109,326,158,128,27,36,43,33
2109,S01002110,218,137,29,13,28,47,13
2110,S01002111,157,164,178,29,34,22,41
2111,S01002112,198,87,280,52,28,46,44
2112,S01002113,154,78,125,21,20,26,24
2113,S01002114,112,194,98,29,32,26,23
2114,S01002115,397,169,86,21,54,79,34
2115,S01002116,171,106,166,34,25,24,34
2116,S01002117,252,70,56,14,16,41,32
2117,S01002118,420,108,54,8,22,43,58
2118,S01002119,129,107,44,16,6,8,27
2119,S01002120,202,103,186,37,13,31,37
2120,S01002121,167,162,65,26,9,12,23
2121,S01002122,229,189,16,17,31,49,20
2122,S01002123,425,198,166,37,23,70,40
2123,S01002124,142,216,63,31,16,37,28
2124,S01002125,192,95,248,31,42,48,40
2125,S01002126,148,172,64,30,18,9,28
2126,S01002127,141,105,146,28,19,23,35
2127,S01002128,313,149,75,17,23,59,33
2128,S01002129,246,110,59,10,25,60,43
2129,S01002130,169,155,72,21,23,21,30
2130,S01002131,268,89,64,10,18,54,36
2131,S01002132,149,184,63,34,13,17,30
2132,S01002133,367,146,74,28,55,65,41
2133,S01002134,122,92,111,19,18,28,25
2134,S01002135,198,213,37,17,34,46,23
2135,S01002136,286,104,36,19,27,37,30
2136,S01002137,188,123,206,41,25,24,26
2137,S01002138,93,84,121,24,15,20,18
2138,S01002139,128,196,70,31,27,28,30
2139,S01002140,204,135,117,27,7,30,41
2140,S01002141,130,111,150,32,12,37,22
2141,S01002142,199,183,146,31,22,32,57
2142,S01002143,120,158,72,33,18,20,29
2143,S01002144,134,175,19,12,18,33,16
2144,S01002145,362,97,41,29,54,99,36
2145,S01002146,147,347,91,42,28,31,36
2146,S01002147,202,152,109,39,14,27,36
2147,S01002148,238,159,43,19,31,33,21
2148,S01002149,189,169,142,42,25,29,44
2149,S01002150,112,220,77,29,22,19,29
2150,S01002151,271,258,104,41,42,33,51
2151,S01002152,267,131,53,20,31,29,37
2152,S01002153,84,129,60,40,17,14,14
2153,S01002154,177,135,115,16,7,22,38
2154,S01002155,190,198,76,31,25,42,27
2155,S01002156,302,110,46,25,52,63,24
2156,S01002157,289,75,46,18,31,73,27
2157,S01002158,236,120,55,25,40,52,33
2158,S01002159,214,136,43,20,28,72,30
2159,S01002160,196,151,91,18,17,18,19
2160,S01002161,294,100,59,21,28,31,39
2161,S01002162,214,177,212,32,24,34,36
2162,S01002163,180,299,124,45,38,27,46
2163,S01002164,137,91,108,129,19,35,28
2164,S01002165,165,240,215,37,24,29,46
2165,S01002166,327,89,56,15,33,81,41
2166,S01002167,129,129,40,16,15,20,37
2167,S01002168,396,93,56,19,46,53,32
2168,S01002169,225,144,57,28,30,37,21
2169,S01002170,109,108,97,24,9,21,31
2170,S01002171,123,143,47,24,14,14,29
2171,S01002172,108,182,62,29,24,41,24
2172,S01002173,153,263,50,26,29,26,26
2173,S01002174,325,134,73,16,43,43,50
2174,S01002175,224,295,95,33,42,27,40
2175,S01002176,110,69,82,190,28,19,40
2176,S01002177,299,144,54,21,44,29,31
2177,S01002178,333,124,63,24,50,50,53
