GEO_CODE,Pop
S01000547,544
S01000533,760
S01000527,587
S01000537,559
S01000567,769
S01000565,709
S01000568,542
S01000552,554
S01000558,564
S01000561,1034
S01000553,948
S01000549,1136
S01000550,557
S01000554,791
S01000556,880
S01000560,1044
S01000562,964
S01000563,640
S01000559,707
S01000557,880
S01000566,840
S01000564,915
S01000580,681
S01005103,999
S01000599,830
S01000591,646
S01000581,707
S01001221,652
S01000601,1072
S01000602,679
S01000598,519
S01000600,742
S01000603,822
S01000594,655
S01000593,571
S01000582,728
S01000586,775
S01000570,939
S01000569,742
S01000572,800
S01000573,600
S01000576,654
S01000574,814
S01000579,807
S01000577,595
S01000578,706
S01000571,780
S01000575,661
S01000583,758
S01000584,781
S01000587,756
S01000585,945
S01000592,924
S01000588,627
S01000590,773
S01000589,645
S01000596,945
S01000597,1065
S01000595,839
S01000637,595
S01000616,1220
S01000638,503
S01000633,632
S01000629,662
S01000617,634
S01000619,714
S01000611,624
S01000609,1009
S01000604,1051
S01000607,784
S01000605,871
S01000613,1004
S01000621,1009
S01000612,995
S01000606,820
S01000608,972
S01000610,773
S01000615,764
S01000618,827
S01000624,604
S01000631,637
S01000623,780
S01000625,680
S01000628,559
S01000622,547
S01000620,916
S01000626,822
S01000634,822
S01000627,931
S01000630,732
S01000635,678
S01000645,898
S01000674,984
S01000678,993
S01000681,802
S01000682,644
S01000679,750
S01000680,778
S01000683,525
S01000685,843
S01000684,687
S01000686,760
S01000688,792
S01000687,789
S01000690,787
S01000691,772
S01000700,879
S01000694,724
S01000697,492
S01000705,1146
S01000707,537
S01000706,823
S01000642,807
S01000664,774
S01000689,611
S01000677,822
S01000701,920
S01000692,753
S01000693,926
S01000695,745
S01000699,658
S01000696,731
S01000698,642
S01000702,522
S01000703,741
S01000632,589
S01000641,785
S01000643,609
S01000644,680
S01000640,635
S01000665,675
S01000662,530
S01000663,702
S01000639,606
S01000660,974
S01000661,765
S01000659,1066
S01000657,760
S01000655,797
S01000656,790
S01000658,578
S01000651,806
S01000653,962
S01000648,910
S01000646,826
S01000650,737
S01000647,877
S01000652,812
S01000654,943
S01000614,722
S01000636,501
S01000649,582
S01000666,493
S01000676,501
S01000667,981
S01000668,909
S01000670,566
S01000672,628
S01000669,785
S01000671,622
S01000673,750
S01000675,722
S01000708,562
S01000710,1083
S01000704,880
S01000709,888
S01000831,934
S01000830,715
S01000832,980
S01000809,553
S01000820,573
S01000811,834
S01000810,630
S01000812,662
S01000813,758
S01000814,919
