GEO_CODE,TotalCars
S01000511,294.0
S01000512,456.0
S01000513,410.0
S01000514,361.0
S01000515,353.0
S01000516,360.0
S01000517,339.0
S01000518,425.0
S01000519,321.0
S01000520,528.0
S01000521,400.0
S01000522,391.0
S01000523,323.0
S01000524,385.0
S01000525,567.0
S01000526,564.0
S01000527,380.0
S01000528,439.0
S01000529,461.0
S01000530,293.0
S01000531,294.0
S01000532,347.0
S01000533,324.0
S01000534,273.0
S01000535,413.0
S01000536,302.0
S01000537,370.0
S01000538,313.0
S01000539,414.0
S01000540,342.0
S01000541,220.0
S01000542,250.0
S01000543,354.0
S01000544,405.0
S01000545,281.0
S01000546,272.0
S01000547,241.0
S01000548,485.0
S01000549,535.0
S01000550,283.0
S01000551,363.0
S01000552,304.0
S01000553,397.0
S01000554,264.0
S01000555,359.0
S01000556,312.0
S01000557,337.0
S01000558,260.0
S01000559,217.0
S01000560,358.0
S01000561,354.0
S01000562,299.0
S01000563,209.0
S01000564,252.0
S01000565,299.0
S01000566,279.0
S01000567,261.0
S01000568,223.0
S01000569,379.0
S01000570,462.0
S01000571,324.0
S01000572,416.0
S01000573,330.0
S01000574,437.0
S01000575,289.0
S01000576,355.0
S01000577,284.0
S01000578,336.0
S01000579,384.0
S01000580,441.0
S01000581,427.0
S01000582,309.0
S01000583,365.0
S01000584,304.0
S01000585,425.0
S01000586,389.0
S01000587,321.0
S01000588,304.0
S01000589,332.0
S01000590,415.0
S01000591,365.0
S01000592,454.0
S01000593,359.0
S01000594,347.0
S01000595,436.0
S01000596,504.0
S01000597,567.0
S01000598,314.0
S01000599,477.0
S01000600,465.0
S01000601,710.0
S01000602,425.0
S01000603,532.0
S01000604,554.0
S01000605,375.0
S01000606,230.0
S01000607,397.0
S01000608,321.0
S01000609,283.0
S01000610,225.0
S01000611,196.0
S01000612,359.0
S01000613,457.0
S01000614,364.0
S01000615,234.0
S01000616,579.0
S01000617,287.0
S01000618,339.0
S01000619,289.0
S01000620,238.0
S01000621,403.0
S01000622,136.0
S01000623,220.0
S01000624,197.0
S01000625,177.0
S01000626,181.0
S01000627,336.0
S01000628,181.0
S01000629,261.0
S01000630,291.0
S01000631,207.0
S01000632,400.0
S01000633,280.0
S01000634,281.0
S01000635,264.0
S01000636,337.0
S01000637,385.0
S01000638,321.0
S01000639,384.0
S01000640,427.0
S01000641,459.0
S01000642,492.0
S01000643,369.0
S01000644,413.0
S01000645,518.0
S01000646,428.0
S01000647,378.0
S01000648,289.0
S01000649,398.0
S01000650,264.0
S01000651,341.0
S01000652,359.0
S01000653,329.0
S01000654,321.0
S01000655,296.0
S01000656,319.0
S01000657,302.0
S01000658,201.0
S01000659,542.0
S01000660,551.0
S01000661,356.0
S01000662,298.0
S01000663,324.0
S01000664,450.0
S01000665,409.0
S01000666,304.0
S01000667,525.0
S01000668,311.0
S01000669,335.0
S01000670,263.0
S01000671,292.0
S01000672,296.0
S01000673,410.0
S01000674,530.0
S01000675,414.0
S01000676,293.0
S01000677,438.0
S01000678,454.0
S01000679,237.0
S01000680,266.0
S01000681,258.0
S01000682,211.0
S01000683,233.0
S01000684,242.0
S01000685,372.0
S01000686,255.0
S01000687,269.0
S01000688,337.0
S01000689,371.0
S01000690,372.0
S01000691,291.0
S01000692,263.0
S01000693,326.0
S01000694,256.0
S01000695,330.0
S01000696,316.0
S01000697,277.0
S01000698,285.0
S01000699,266.0
S01000700,380.0
S01000701,537.0
S01000702,264.0
S01000703,292.0
S01000704,523.0
S01000705,567.0
S01000706,478.0
S01000707,354.0
S01000708,384.0
S01000709,514.0
S01000710,735.0
S01000711,307.0
S01000712,283.0
S01000713,272.0
S01000714,387.0
S01000715,202.0
S01000716,151.0
S01000717,215.0
S01000718,262.0
S01000719,331.0
S01000720,466.0
S01000721,346.0
S01000722,265.0
S01000723,287.0
S01000724,318.0
S01000725,401.0
S01000726,387.0
S01000727,161.0
S01000728,430.0
S01000729,156.0
S01000730,120.0
S01000731,108.0
S01000732,109.0
S01000733,216.0
S01000734,424.0
S01000735,190.0
S01000736,324.0
S01000737,206.0
S01000738,274.0
S01000739,351.0
S01000740,461.0
S01000741,515.0
S01000742,318.0
S01000743,337.0
S01000744,254.0
S01000745,295.0
S01000746,267.0
S01000747,193.0
S01000748,120.0
S01000749,119.0
S01000750,299.0
S01000751,393.0
S01000752,243.0
S01000753,281.0
S01000754,307.0
S01000755,381.0
S01000756,486.0
S01000757,327.0
S01000758,619.0
S01000759,398.0
S01000760,285.0
S01000761,317.0
S01000762,327.0
S01000763,514.0
S01000764,356.0
S01000765,265.0
S01000766,334.0
S01000767,123.0
S01000768,298.0
S01000769,351.0
S01000770,108.0
S01000771,472.0
S01000772,342.0
S01000773,440.0
S01000774,176.0
S01000775,336.0
S01000776,340.0
S01000777,138.0
